Author (Citation),Sample ID,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFHxS,PFOS,PFDS,PFEtCHxS,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA
#12 Letcher et al (2015),HG 1,Lake Superior,Gull Island,47.90753838,-89.16747974,Aves,Herring gull,Composite eggs,10,10,4/30/12,2012,<0.03,0.1,43.2,1.06,0.09,<0.01,0.018,1.27,2.25,3.71,1.89,7.41,2.33,0.008
#12 Letcher et al (2015),HG 2,Lake Superior,Gull Island,47.90753838,-89.16747974,Aves,Herring gull,Composite eggs,10,10,4/30/13,2013,<0.014,0.22,56.3,0.97,0.11,<0.038,0.1,3.96,4.31,8.08,3.55,9.49,2.93,0.065
#12 Letcher et al (2015),HG 3,Lake Superior; Lake Huron,Five Mile Island,46.46249453,-84.46182212,Aves,Herring gull,Composite eggs,10,10,4/30/12,2012,<0.03,0.29,78.7,2.72,0.09,0.006,0.32,3.53,3.88,4.38,1.97,4.46,1.83,0.031
#12 Letcher et al (2015),HG 4,Lake Superior; Lake Huron,Five Mile Island,46.46249453,-84.46182212,Aves,Herring gull,Composite eggs,10,10,4/30/13,2013,<0.014,0.38,128,1,0.2,<0.038,0.26,3.86,5.27,6.64,2.67,8.15,2.58,<0.07
#12 Letcher et al (2015),HG 5,Lake Huron,Little Charity Island,44.00261281,-83.46687658,Aves,Herring gull,Composite eggs,10,10,4/30/12,2012,<0.03,1.44,92.1,2.14,0.2,0.004,0.21,1.61,3.01,5.37,2.83,7.04,2.91,0.15
#12 Letcher et al (2015),HG 6,Lake Huron,Little Charity Island,44.00261281,-83.46687658,Aves,Herring gull,Composite eggs,10,10,4/30/13,2013,<0.04,0.24,247,3.67,0.23,<0.038,0.22,2.27,6.39,8.99,3.94,9.82,3.79,0.15
#12 Letcher et al (2015),HG 7,Lake Michigan,Bellow Island,45.0999447,-85.5673407,Aves,Herring gull,Composite eggs,10,10,4/30/12,2012,<0.03,0.36,59,1.17,0.5,<0.01,0.2,2.25,2.53,3.61,1.56,3.49,1.6,0.023
#12 Letcher et al (2015),HG 8,Lake Michigan,Bellow Island,45.0999447,-85.5673407,Aves,Herring gull,Composite eggs,10,10,4/30/13,2013,<0.014,0.31,101,1.13,1.56,<0.038,0.23,2.68,3.7,5.6,2.36,5.34,1.54,0.033
#12 Letcher et al (2015),HG 9,Lake Erie,Monroe (Raisin River),41.89715116,-83.33968365,Aves,Herring gull,Composite eggs,10,10,4/30/12,2012,<0.03,0.23,100,4.98,0.36,<0.01,0.052,0.46,3.36,3.66,2.9,4.13,2.7,0.028
#12 Letcher et al (2015),HG 10,Lake Erie,Monroe (Raisin River),41.89715116,-83.33968365,Aves,Herring gull,Composite eggs,10,10,4/30/13,2013,<0.04,0.01,96.4,3.92,0.38,<0.038,0.073,0.3,4.2,5.15,3.83,5.11,3.02,0.15
