Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Maturity,Age (Years),Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOS,PFOSA,PFOA,PFHxS
#15 Kannan et al (2005),K15-1,NA,NA,NA,NA,NA,Lake Erie,"Raisin River, near Ford Plant",41.94576092,-83.48007212,Algae,Benthic algae,Biofilm,1,1,9/1/99,1999,2.4,<1,<0.2,<2
#15 Kannan et al (2005),K15-2,NA,NA,NA,NA,NA,Lake Erie,"Raisin River, near Ford Plant",41.94576092,-83.48007212,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,9/1/99,1999,2.9,<2,<5,<1
#15 Kannan et al (2005),K15-3,1.4,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Bivalvia,Zebra mussel,Bulk composite,1,NA,10/1/98,1998,3.1,2.7,<5,<1
#15 Kannan et al (2005),K15-4,1.45,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Bivalvia,Zebra mussel,Bulk composite,1,NA,8/1/99,1999,<2,3.8,<5,<1
#15 Kannan et al (2005),K15-5,6.35,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/99,1999,4.3,1.6,<0.2,<2
#15 Kannan et al (2005),K15-6,8.3,NA,NA,NA,NA,Lake Erie,"Raisin River, Port of Monroe",41.89973136,-83.353452,Pisces,Round goby,Composite whole fish homogenate,1,NA,9/1/99,1999,11.2,1.6,<0.2,<2
#15 Kannan et al (2005),K15-7,8.2,NA,NA,NA,NA,Lake Erie,"Raisin River, Port of Monroe",41.89973136,-83.353452,Pisces,Round goby,Composite whole fish homogenate,1,NA,10/1/98,1998,7.2,2.1,<2,<1
#15 Kannan et al (2005),K15-8,10.2,NA,NA,NA,NA,Lake Erie,"Raisin River, Port of Monroe",41.89973136,-83.353452,Pisces,Round goby,Composite whole fish homogenate,1,NA,10/1/98,1998,6.6,1.8,<0.2,<2
#15 Kannan et al (2005),K15-9,7.7,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,9/1/98,1998,41.3,2.7,<2,<1
#15 Kannan et al (2005),K15-10,10.75,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,9/1/99,1999,2,1.2,<2,<1
#15 Kannan et al (2005),K15-11,19.2,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,9/1/98,1998,3.6,1.4,<2,<1
#15 Kannan et al (2005),K15-12,25.35,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,9/1/99,1999,5.8,1.8,<2,<1
#15 Kannan et al (2005),K15-13,28.5,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,9/1/98,1998,7.6,2.4,<2,<1
#15 Kannan et al (2005),K15-14,37.45,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,9/1/98,1998,19.8,4.1,<2,<1
#15 Kannan et al (2005),K15-15,35.3,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,9/1/99,1999,8.6,1.2,<2,<1
#15 Kannan et al (2005),K15-16,41.5,NA,NA,NA,NA,Lake Erie,"Raisin River, near Hwy 24",41.92370718,-83.41615597,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,9/1/99,1999,17.8,<1,<2,<1
#15 Kannan et al (2005),K15-17,NA,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Marine City",42.70139705,-82.49197575,Algae,Benthic algae,Biofilm,1,1,7/1/99,1999,2.6,<1,<0.2,<2
#15 Kannan et al (2005),K15-18,NA,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Marine City",42.70139705,-82.49197575,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,9/1/99,1999,<2,<2,<5,<1
#15 Kannan et al (2005),K15-19,1.8,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Marine City",42.70139705,-82.49197575,Bivalvia,Zebra mussel,Bulk composite,1,NA,11/1/98,1998,<2,<2,<5,<1
#15 Kannan et al (2005),K15-20,5.75,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Marine City",42.70139705,-82.49197575,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/99,1999,2.4,1.4,<0.2,<2
#15 Kannan et al (2005),K15-21,7.95,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Marine City",42.70139705,-82.49197575,Pisces,Round goby,Composite whole fish homogenate,1,NA,7/1/99,1999,19.1,3.4,<0.2,<2
