Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Maturity,Age (Years),d15N,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOS
#17 Houde et al (2008),trout 1,NA,NA,0,Adult (Sexually Mature),4,18.3,Lake Ontario,"Port Credit, Niagara Basin",43.4,-79.6,Pisces,Lake trout,Whole fish homogenate,1,1,9/1/02,2002,144.4790503
#17 Houde et al (2008),trout 2 ,NA,NA,0,Adult (Sexually Mature),4,18.3,Lake Ontario,"Port Credit, Niagara Basin",43.4,-79.6,Pisces,Lake trout,Whole fish homogenate,1,1,9/1/02,2002,145.0148063
#17 Houde et al (2008),trout 3,NA,NA,0,Adult (Sexually Mature),4,18.3,Lake Ontario,"Port Credit, Niagara Basin",43.4,-79.6,Pisces,Lake trout,Whole fish homogenate,1,1,9/1/02,2002,80.34474995
#17 Houde et al (2008),trout 4,NA,NA,0,Adult (Sexually Mature),4,18.3,Lake Ontario,"Port Credit, Niagara Basin",43.4,-79.6,Pisces,Lake trout,Whole fish homogenate,1,1,9/1/02,2002,17.76970722
#17 Houde et al (2008),trout 5,NA,NA,0,Adult (Sexually Mature),4,18.3,Lake Ontario,"Port Credit, Niagara Basin",43.4,-79.6,Pisces,Lake trout,Whole fish homogenate,1,1,9/1/02,2002,74.88481317
#17 Houde et al (2008),zoo 1306-1,NA,NA,NA,NA,NA,8.1,Lake Ontario,Station 13 Niagara basin,43.4166667,-79.4,Zooplankton,Zooplankton,Bulk composite,1,NA,7/17/06,2006,1.198163507
#17 Houde et al (2008),zoo 1306-2,NA,NA,NA,NA,NA,8.1,Lake Ontario,Station 13 Niagara basin,43.4166667,-79.4,Zooplankton,Zooplankton,Bulk composite,1,NA,7/17/06,2006,1.629610915
#17 Houde et al (2008),zoo 1306-3,NA,NA,NA,NA,NA,8.1,Lake Ontario,Station 13 Niagara basin,43.4166667,-79.4,Zooplankton,Zooplankton,Bulk composite,1,NA,7/17/06,2006,0.908874046
#17 Houde et al (2008),zoo 4004-1,NA,NA,NA,NA,NA,8.1,Lake Ontario,Station 40 Central Lake Ontario,43.7166667,-78.02666667,Zooplankton,Zooplankton,Bulk composite,1,NA,7/6/04,2004,1.818710898
#17 Houde et al (2008),zoo 4006-2,NA,NA,NA,NA,NA,8.1,Lake Ontario,Station 40 Central Lake Ontario,43.7166667,-78.02666667,Zooplankton,Zooplankton,Bulk composite,1,NA,7/6/04,2004,1.697721321
#17 Houde et al (2008),zoo 4006-3,NA,NA,NA,NA,NA,8.1,Lake Ontario,Station 40 Central Lake Ontario,43.7166667,-78.02666667,Zooplankton,Zooplankton,Bulk composite,1,NA,7/6/04,2004,1.3
#17 Houde et al (2008),smelt 1,NA,9,NA,NA,NA,15,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/1/02,2002,48.06282666
#17 Houde et al (2008),smelt 2,NA,9,NA,NA,NA,15,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/1/02,2002,61.64527538
#17 Houde et al (2008),smelt 3,NA,9,NA,NA,NA,15,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/1/02,2002,85.93486356
#17 Houde et al (2008),smelt 4,NA,9,NA,NA,NA,15,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/1/02,2002,229.913351
#17 Houde et al (2008),smelt 5,NA,9,NA,NA,NA,15,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/1/02,2002,129.8903898
#17 Houde et al (2008),smelt 6,NA,9,NA,NA,NA,15,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/1/02,2002,102.2694453
#17 Houde et al (2008),alewife 2,NA,26.9,NA,NA,NA,12.2,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/1/02,2002,98.73013746
#17 Houde et al (2008),alewife 4,NA,26.9,NA,NA,NA,12.2,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/1/02,2002,58.08385293
#17 Houde et al (2008),alewife 5,NA,26.9,NA,NA,NA,12.2,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/1/02,2002,50.00638193
#17 Houde et al (2008),alewife 5-2,NA,26.9,NA,NA,NA,12.2,Lake Ontario,Niagara-on-the-Lake,43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/1/02,2002,25.51503941
