Author (Citation),Sample ID,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFPeDA,PFOSA,PFOS
#18 Gebbink et al (2009),18GBHG 1,Lake Superior,Granite Island,48.7204,-88.4602,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,0.98,9,7.7,13,3.9,10,1.1,0.42,0.07,136.65
#18 Gebbink et al (2009),18GBHG 2,Lake Superior,Agawa Rock,47.3508,-84.7007,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,0.51,9.6,8.6,20,6.5,23,2.9,1.3,0.06,98.22
#18 Gebbink et al (2009),18GBHG 3,Lake Michigan,Big Sister Island,45.2237,-87.1459,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,1.2,3.1,12,14,12,15,5.4,0.51,0.28,218.51
#18 Gebbink et al (2009),18GBHG 4,Lake Michigan,Gull Island,45.5098,-86.7218,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,<0.10,2.1,4.1,7.9,3.2,10,1.5,2.475,0.1,185.05
#18 Gebbink et al (2009),18GBHG 5,Lake Huron,Channel-Shelter Island,43.6729,-83.8288,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,<0.10,0.71,6.5,13,4.7,12,2.8,1.2,0.08,213.17
#18 Gebbink et al (2009),18GBHG 6,Lake Huron,Double Island,46.1734,-82.8642,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,2.6,16,20,28,12,29,4.6,2,0.19,235.59
#18 Gebbink et al (2009),18GBHG 7,Lake Huron,Chantry Island,44.4928,-81.4033,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,0.45,2.1,4,6.1,3.5,13,2.6,1.675,0.03,164.06
#18 Gebbink et al (2009),18GBHG 8,Lake Huron; Lake Erie,Fighting Island,42.21259629,-83.11846417,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,<0.10,0.64,7.8,12,11,17,7.4,2.7,0.12,259.79
#18 Gebbink et al (2009),18GBHG 9,Lake Erie,Middle Island,41.6817,-82.6817,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,<0.10,1.6,22,25,16,20,6.5,1.7,0.21,502.14
#18 Gebbink et al (2009),18GBHG 10,Lake Erie,Port Colborne,42.8683,-79.2583,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,<0.10,1.3,10,15,6.1,13,3.6,1.8,0.43,336.65
#18 Gebbink et al (2009),18GBHG 11,Lake Erie; Lake Ontario,Niagara River,43.0754,-79.0701,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,0.1,2.6,13,18,7.5,19,3.7,1.1,0.17,307.47
#18 Gebbink et al (2009),18GBHG 12,Lake Ontario,Hamilton Harbor,43.307,-79.8048,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,<0.10,1.1,7.6,11,12,15,7.2,1.3,0.54,318.15
#18 Gebbink et al (2009),18GBHG 13,Lake Ontario,Toronto Harbor,43.6214,-79.3313,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,0.4,4.4,11,16,13,16,7.9,1.8,0.26,489.68
#18 Gebbink et al (2009),18GBHG 14,Lake Ontario,Snake Island,44.1908,-76.5431,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,<0.10,1.4,14,24,11,19,3.9,1.225,0.13,438.43
#18 Gebbink et al (2009),18GBHG 15,Lake Ontario,Strachan Island,45.015,-74.8117,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,0.1,2.1,12,22,8.9,17,2.9,0.98,0.09,468.33
