Author (Citation),Sample ID,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,Gen-X,PFPrS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFEtCHxS,Cl-PFOS,4:2 FTSA,6:2 FTSA,8:2 FTSA,6:2 FTCA,8:2 FTCA,10:2 FTCA,PFOSA,NMeFOSA,NEtFOSA,6:2 FTOH,8:2 FTOH,10:2 FTOH,NMeFOSE,NEtFOSE
#29 Wu et al (2019),KW07,Lake Superior,"Coastal area, Upper Peninsula",47.07326957,-88.35437919,Aves,Bald eagle,Eggs,1,1,2001,<0.013,0.14,0.02,0.02,0.05,2.17,9.84,21.2,3.85,17.6,4.65,0.03,<0.82,<0.008,<0.001,<0.007,1.43,1.44,182,0.25,7.86,0.62,0.97,<0.007,<0.019,<0.012,<0.76,<0.68,<0.74,0.13,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),KW01,Lake Superior,"Coastal area, Upper Peninsula",47.07326957,-88.35437919,Aves,Bald eagle,Eggs,1,1,2001,0.15,0.19,0.04,0.03,0.05,0.63,4.36,5.04,3.38,5.39,2.1,<0.01,<0.82,<0.008,<0.001,<0.007,1.26,2.55,978,5.47,249,21.9,2.45,0.22,48.5,0.11,<0.76,<0.68,<0.74,1.97,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),MQ15,Lake Superior,"Coastal area, Upper Peninsula",47.07326957,-88.35437919,Aves,Bald eagle,Eggs,1,1,2001,0.05,0.43,0.02,0.03,0.03,1.98,3.42,7.7,1.33,10.2,1.57,<0.01,<0.82,<0.008,0.01,<0.007,2.12,0.44,91.2,0.08,1.74,0.15,0.54,1.95,528,0.1,<0.76,<0.68,<0.74,0.07,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),HO02,Lake Superior,"Coastal area, Upper Peninsula",47.07326957,-88.35437919,Aves,Bald eagle,Eggs,1,1,2002,0.09,0.05,<0.009,0.01,0.03,4.38,3.27,16.6,3.36,3.54,3.4,<0.01,<0.82,<0.008,<0.001,<0.007,0.05,0.68,113,0.06,1.86,0.13,0.2,<0.007,2.64,0.05,<0.76,<0.68,<0.74,0.02,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),BG10,Lake Superior,"Coastal area, Upper Peninsula",47.07326957,-88.35437919,Aves,Bald eagle,Eggs,1,1,2003,0.38,0.28,0.62,0.01,0.06,3.17,7.4,12.3,2.53,24,2.53,0.26,<0.82,<0.008,<0.001,<0.007,0.11,0.58,72,0.07,1.52,0.07,0.05,0.14,38,<0.012,<0.76,<0.68,<0.74,0.05,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),SG02,Lake Huron,"Coastal area, Lower Peninsula",43.69462534,-83.98589618,Aves,Bald eagle,Eggs,1,1,2005,<0.013,0.12,0.01,0.09,0.05,3.77,32.4,44.5,20.1,9.13,11.3,<0.01,<0.82,<0.008,<0.001,<0.007,1.66,3.5,1338,4.43,295,7.44,2.08,0.08,28,2.52,<0.76,<0.68,<0.74,0.28,<0.026,<0.035,<0.97,<1.1,<1.4,0.17,0.12
#29 Wu et al (2019),TU01,Lake Huron,"Coastal area, Lower Peninsula",43.69462534,-83.98589618,Aves,Bald eagle,Eggs,1,1,2006,<0.013,0.13,0.02,0.03,0.12,4.78,37.3,43.2,11.7,7.65,7.02,0.1,<0.82,<0.008,<0.001,<0.007,2.01,2.98,719,1.98,101,2.64,2.58,0.08,21.5,0.83,<0.76,<0.68,<0.74,0.08,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),HO04,Lake Superior,"Coastal area, Upper Peninsula",47.07326957,-88.35437919,Aves,Bald eagle,Eggs,1,1,2008,0.18,0.13,<0.009,0.01,<0.004,12.1,42,107,22.2,23.3,9.04,<0.01,<0.82,<0.008,0.01,<0.007,10.7,1.29,322,0.31,0.54,0.28,0.53,0.03,0.75,0.53,<0.76,<0.68,<0.74,0.02,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),BY09,Lake Huron,"Coastal area, Lower Peninsula",43.69462534,-83.98589618,Aves,Bald eagle,Eggs,1,1,2012,<0.013,0.03,0.04,0.06,0.06,6.19,28.1,35,13.9,10.2,8.94,0.14,<0.82,<0.008,<0.001,<0.007,0.59,2.59,648,0.86,2.6,2.61,0.77,<0.007,21.9,0.98,<0.76,<0.68,<0.74,0.07,<0.026,<0.035,<0.97,1.15,<1.4,<0.89,<0.9
#29 Wu et al (2019),SG06,Lake Huron,"Coastal area, Lower Peninsula",43.69462534,-83.98589618,Aves,Bald eagle,Eggs,1,1,2012,<0.013,<0.019,<0.009,0.09,0.24,8.09,37.9,28.3,6.7,21,7.19,<0.01,<0.82,<0.008,<0.001,<0.007,2.2,2.17,513,1.11,61.9,0.85,1.06,<0.007,<0.019,0.61,<0.76,<0.68,<0.74,0.12,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),AR05,Lake Huron,"Coastal area, Lower Peninsula",43.69462534,-83.98589618,Aves,Bald eagle,Eggs,1,1,2012,<0.013,0.15,<0.009,0.11,0.26,14.9,39.1,53.9,26.3,34.9,7.52,0.17,<0.82,<0.008,0.02,<0.007,5.95,2.45,847,1.6,39.9,1.83,1.55,0.22,59,0.35,<0.76,<0.68,<0.74,0.14,0.08,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),IR07,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2000,0.11,0.17,0.02,0.01,0.01,0.57,1.14,2.52,0.66,1.22,0.3,<0.01,<0.82,<0.008,0.04,<0.007,0.48,0.4,41.5,<0.006,0.29,0.2,0.02,<0.007,6.55,0.05,<0.76,<0.68,<0.74,0.03,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),MM12,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2000,0.05,0.16,<0.009,0.01,0.04,0.84,2.53,2.68,0.45,1.41,0.42,<0.01,<0.82,<0.008,<0.001,<0.007,0.53,0.44,50.4,0.09,5.41,0.09,0.07,<0.007,1.92,0.03,<0.76,<0.68,<0.74,0.05,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),DI06,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2000,0.5,0.23,0.01,0.08,<0.004,1.24,4.6,5.51,0.79,0.37,0.83,<0.01,<0.82,<0.008,<0.001,<0.007,3.1,0.68,107,0.16,11.4,0.21,0.2,1.57,477,0.03,<0.76,<0.68,<0.74,0.04,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),DI10,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2001,<0.013,0.22,<0.009,0.05,<0.004,1.14,2.22,3.95,0.36,0.08,0.39,<0.01,<0.82,<0.008,<0.001,<0.007,0.88,0.17,43.7,0.1,11.9,0.04,0.58,0.28,42.1,0.1,<0.76,<0.68,<0.74,0.05,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),DI09,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2001,1.17,0.2,0.09,0.09,<0.004,0.23,0.71,2.26,0.35,1.29,0.43,0.04,<0.82,<0.008,<0.001,<0.007,0.02,0.65,37,<0.006,0.41,0.31,0.3,<0.007,30,<0.012,<0.76,<0.68,<0.74,<0.006,4.68,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),IR17,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2002,<0.013,0.02,<0.009,0.01,0.04,1.82,5.86,12.9,2.22,8.36,1.55,<0.01,<0.82,<0.008,<0.001,<0.007,0.07,0.83,129,0.2,11.2,0.22,0.29,<0.007,1.09,0.11,5.58,<0.68,<0.74,0.07,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),MM10,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2002,0.07,0.12,<0.009,0.04,0.11,2.18,4.53,8.37,1.15,2.73,1.15,<0.01,<0.82,<0.008,<0.001,<0.007,0.43,0.32,83.1,0.23,21.3,0.1,0.14,<0.007,9.89,0.08,<0.76,<0.68,<0.74,0.08,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),ON03,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2002,0.06,0.06,0.05,<0.005,0.01,0.48,1.84,4.61,0.56,2.25,0.9,<0.01,<0.82,<0.008,0.03,<0.007,1.45,0.43,67.3,0.08,2.89,0.05,3.46,<0.007,4.09,0.03,<0.76,<0.68,<0.74,0.05,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),MM07,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2003,0.05,0.27,0.01,0.02,<0.004,1.17,3.29,2.41,0.3,0.26,0.36,<0.01,<0.82,<0.008,0.01,<0.007,5.82,0.47,56.5,0.06,0.32,0.69,0.68,0.33,3.47,0.04,<0.76,<0.68,<0.74,0.03,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),DI15,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2003,<0.013,0.11,0.02,0.08,0.02,0.14,1.77,2.6,0.27,0.16,0.26,<0.01,<0.82,<0.008,<0.001,<0.007,1.17,0.21,28.5,0.03,0.37,0.2,0.47,0.5,1.64,<0.012,<0.76,<0.68,<0.74,0.01,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
#29 Wu et al (2019),MM05,Lake Superior; Lake Michigan,"Inland, Upper Peninsula",46.00129507,-87.65186898,Aves,Bald eagle,Eggs,1,1,2009,0.09,0.27,0.05,0.02,0.01,1.62,6.19,12.2,1.8,1.02,2.03,<0.01,<0.82,<0.008,<0.001,<0.007,1.61,0.58,104,0.15,7.24,0.22,0.42,0.53,1.34,0.09,<0.76,<0.68,<0.74,0.02,<0.026,<0.035,<0.97,<1.1,<1.4,<0.89,<0.9
