Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Maturity,Age (Years),Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFPeDA,PFOS,PFOSA
#30 Martin et al (2004),Diporeia 1,NA,NA,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,"Shrimp, water fleas, and allies",Diporeia hoyi,Bulk composite,1,NA,10/9/02,2002,100.0363636,62.46363636,32.99818182,44.54181818,14.47636364,14.6065699,7.151515152,2.63030303,313.6072727,180.6927273
#30 Martin et al (2004),Diporeia 2,NA,NA,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,"Shrimp, water fleas, and allies",Diporeia hoyi,Bulk composite,1,NA,10/9/02,2002,86.1630052,54.40046956,32.67650511,38.98373302,12.29079322,14.036136,6.819833417,2.761473531,249.0826765,158.0060372
#30 Martin et al (2004),Diporeia 3,NA,NA,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,"Shrimp, water fleas, and allies",Diporeia hoyi,Bulk composite,1,NA,10/9/02,2002,84.54839323,55.42878874,30.86138049,40.24149078,15.24624453,15.53159769,7.986309184,<0.5,275.4420993,209.541738
#30 Martin et al (2004),Mysid1,NA,NA,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,10/9/02,2002,2.912274096,2.612951807,1.389307229,1.25376506,1.955948795,1.645236408,<0.5,<0.5,11.72063253,132.5997741
#30 Martin et al (2004),Mysid2,NA,NA,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,10/9/02,2002,2.235525917,2.773567748,1.218551076,1.37920582,1.688390421,1.477402116,<0.5,<0.5,14.96817217,126.7656866
#30 Martin et al (2004),Mysid3,NA,NA,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,10/9/02,2002,2.227756785,2.688079698,1.16111302,1.255582274,1.638612161,1.327910072,<0.5,<0.5,11.98557197,125.3091721
#30 Martin et al (2004),SCULPIN1,NA,9.7,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Slimy sculpin,Composite whole fish homogenate,1,3,10/9/02,2002,29.70222836,28.68270558,17.86432656,29.10865707,12.02326957,11.79884298,4.075461776,1.143758627,320.867679,127.465983
#30 Martin et al (2004),SCULPIN2,NA,9.7,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Slimy sculpin,Composite whole fish homogenate,1,3,10/9/02,2002,59.97574174,55.26777384,35.93954096,48.88225415,17.36518007,15.99445526,4.478447472,0.584686198,580.0765068,154.6426572
#30 Martin et al (2004),SCULPIN3,NA,9.7,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Slimy sculpin,Composite whole fish homogenate,1,3,10/9/02,2002,38.61233093,35.59107676,21.15580538,28.78798525,10.84665379,9.210780747,2.693366122,1.018795011,402.0955559,150.8642192
#30 Martin et al (2004),SCULPIN4,NA,9.7,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Slimy sculpin,Composite whole fish homogenate,1,3,10/9/02,2002,51.90701191,50.88074088,34.73445473,45.77206577,17.26138726,14.80236774,5.166005166,1.348201348,501.6046116,173.5097335
#30 Martin et al (2004),SCULPIN5,NA,9.7,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Slimy sculpin,Composite whole fish homogenate,1,3,10/9/02,2002,41.57841823,46.20643432,33.26407507,42.45810992,14.6866622,12.95424336,3.462913315,<0.5,466.6873324,141.8130027
#30 Martin et al (2004),SMELT1,NA,9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/9/02,2002,1.870257967,3.143019727,3.74430956,4.269726859,2.987481032,2.80537101,0.252908447,<0.5,71.01669196,68.37443096
#30 Martin et al (2004),SMELT2,NA,9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/9/02,2002,0.455670103,3.020618557,3.756701031,4.018556701,2.583505155,2.564324699,<0.5,<0.5,72.3814433,58.42268041
#30 Martin et al (2004),SMELT3,NA,9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/9/02,2002,2.770426381,7.086746482,6.267590842,7.874396135,4.192396555,4.447903925,0.700133025,<0.5,132.8586431,73.29762655
#30 Martin et al (2004),SMELT4,NA,9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/9/02,2002,3.55385236,16.61355385,13.78983461,15.73618395,6.922146027,6.508452514,1.613553852,<0.5,206.9342477,81.57724889
#30 Martin et al (2004),SMELT5,NA,9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/9/02,2002,2.036926742,6.160412944,5.227317848,5.562835021,3.146714314,3.336653303,0.397061743,<0.5,87.57593806,108.6916816
#30 Martin et al (2004),SMELT6,NA,9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Rainbow smelt,Composite whole fish homogenate,1,5,10/9/02,2002,1.053157474,4.512390088,3.619104716,4.488409273,3.289368505,3.157138155,0.266453504,<0.5,68.75899281,41.80855316
#30 Martin et al (2004),ALEWIFE1,NA,26.9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/9/02,2002,0.081555834,<0.5,1.08531995,1.622751987,2.319113342,1.897873327,<0.5,<0.5,64.35173568,9.91217064
#30 Martin et al (2004),ALEWIFE2,NA,26.9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/9/02,2002,0.316384181,0.310734463,0.753295669,0.732580038,1.544256121,1.26604314,<0.5,<0.5,36.54613936,1.984934087
#30 Martin et al (2004),ALEWIFE3,NA,26.9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/9/02,2002,<2.0,0.777020045,0.818350899,1.285389543,<0.5,1.806054102,<0.5,<0.5,60.56829924,2.322793966
#30 Martin et al (2004),ALEWIFE4,NA,26.9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/9/02,2002,<2.0,0.016845652,0.543272268,<0.5,1.400294799,1.344820935,<0.5,<0.5,33.19014529,3.941882502
#30 Martin et al (2004),ALEWIFE5,NA,26.9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/9/02,2002,0.377358491,0.453200148,0.812060673,0.799112098,1.296707362,1.492272825,<0.5,<0.5,50.63633,1.050684425
#30 Martin et al (2004),ALEWIFE6,NA,26.9,NA,NA,NA,Lake Ontario,"Lake Ontario, Niagara on the Lake, Ontario",43.3,-79.2,Pisces,Alewife,Composite whole fish homogenate,1,2,10/9/02,2002,4.653561697,3.152977812,4.12417283,2.909692487,5.593616193,1.17758275,5.968599974,<0.5,27.77929155,2.090307513
#30 Martin et al (2004),TROUT18028,58,2209.4,1,Adult (Sexually Mature),5,Lake Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.58333,Pisces,Lake trout,Whole fish homogenate,1,1,8/15/01,2001,0.097280127,1.252729799,2.392297002,3.210244193,2.602739726,1.935258916,<0.5,<0.5,85.91621997,17.84991066
#30 Martin et al (2004),TROUT18031,54,1761.5,1,Adult (Sexually Mature),5,Lake Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.58333,Pisces,Lake trout,Whole fish homogenate,1,1,8/15/01,2001,0.555555556,6.456228956,7.417929293,10.80597643,1.241582492,5.163681634,1.683501684,<0.5,162.4284512,1.195286195
#30 Martin et al (2004),TROUT18032,56,2323.7,1,Adult (Sexually Mature),5,Lake Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.58333,Pisces,Lake trout,Whole fish homogenate,1,1,8/15/01,2001,<2.0,1.782901057,3.206532181,4.776176753,4.484149856,3.745590455,1.665065642,<0.5,169.3121998,7.621517771
#30 Martin et al (2004),TROUT18037,62,2644.1,0,Adult (Sexually Mature),5,Lake Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.58333,Pisces,Lake trout,Whole fish homogenate,1,1,8/15/01,2001,<2.0,4.87819732,5.8363784,9.092570037,4.137231019,3.753023743,0.135336311,<0.5,185.4019488,30.16443362
#30 Martin et al (2004),TROUT18040,57,2252.3,0,Adult (Sexually Mature),5,Lake Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.58333,Pisces,Lake trout,Whole fish homogenate,1,1,8/15/01,2001,<2.0,9.074148297,15.08016032,19.99599198,8.563126253,9.834795642,3.473613894,<0.5,279.4228457,14.34068136
#30 Martin et al (2004),TROUT18041,53,1708,0,Adult (Sexually Mature),5,Lake Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.58333,Pisces,Lake trout,Whole fish homogenate,1,1,8/15/01,2001,0.157528642,4.60106383,6.34410802,8.007364975,4.695171849,5.432614945,0.545553737,<0.5,196.9169394,23.25900164
#30 Martin et al (2004),TROUT18042,51,1719.9,0,Adult (Sexually Mature),5,Lake Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.58333,Pisces,Lake trout,Whole fish homogenate,1,1,8/15/01,2001,0.630021142,1.067653277,2.361522199,2.238900634,1.321353066,2.487252829,<0.5,<0.5,105.2156448,15.54545455
