Author (Citation),Sample ID,Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFHxS,PFOS,PFDS,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA
#33 Gewurtz et al (2016),33GWHG 1,Lake Superior,Ontario,Granite Island,48.7204,-88.4602,Aves,Herring gull,Composite eggs,1,13,5/15/09,2009,0.3,97,2.3,<0.20,5.1,5.2,10,2.6,6.7,0.2
#33 Gewurtz et al (2016),33GWHG 2,Lake Superior,Ontario,Granite Island,48.7204,-88.4602,Aves,Herring gull,Composite eggs,1,13,5/15/10,2010,0.5,114,2.9,0.97,9.3,7.3,13,3.6,6.7,0.74
#33 Gewurtz et al (2016),33GWHG 3,Lake Superior,Ontario,Granite Island,48.7204,-88.4602,Aves,Herring gull,Composite eggs,1,13,5/15/11,2011,0.46,169,3.9,0.24,8.9,7,14,2.3,3.9,0.43
#33 Gewurtz et al (2016),33GWHG 4,Lake Superior,Ontario,Granite Island,48.7204,-88.4602,Aves,Herring gull,Composite eggs,1,13,5/15/12,2012,0.22,73,2.6,0.62,9.1,5.4,17,2.5,9,1.7
#33 Gewurtz et al (2016),33GWHG 5,Lake Superior,Ontario,Agawa Rocks,47.3508,-84.7007,Aves,Herring gull,Composite eggs,1,13,5/15/09,2009,0.4,103,2.1,<0.20,9.4,7.8,15,5.4,11,1.5
#33 Gewurtz et al (2016),33GWHG 6,Lake Superior,Ontario,Agawa Rocks,47.3508,-84.7007,Aves,Herring gull,Composite eggs,5,13,5/15/10,2010,0.57,180,3.2,1,15,12,18,7.2,7.5,1.2
#33 Gewurtz et al (2016),33GWHG 7,Lake Superior,Ontario,Agawa Rocks,47.3508,-84.7007,Aves,Herring gull,Composite eggs,5,13,5/15/11,2011,0.39,110,2.6,0.54,10,6.6,13,5,9,2.3
#33 Gewurtz et al (2016),33GWHG 8,Lake Superior,Ontario,Agawa Rocks,47.3508,-84.7007,Aves,Herring gull,Composite eggs,5,13,5/15/12,2012,0.22,58,1.4,0.7,9.9,11,25,7.6,7.2,1.1
#33 Gewurtz et al (2016),33GWHG 9,Lake Superior,Ontario,Agawa Rocks,47.3508,-84.7007,Aves,Herring gull,Composite eggs,1,13,5/15/12,2012,0.3,54,1.3,0.84,15,17,59,7.8,16,2.8
#33 Gewurtz et al (2016),33GWHG 10,Lake Superior,Ontario,Agawa Rocks,47.3508,-84.7007,Aves,Herring gull,Composite eggs,5,13,5/15/14,2014,<0.51,124,1.8,<0.75,10,11,22,8.1,17,3.9
#33 Gewurtz et al (2016),33GWHG 11,Lake Michigan,"Wisconsin, USA",Big Sister Island,45.2237,-87.1459,Aves,Herring gull,Composite eggs,1,13,5/15/09,2009,0.6,192,3.4,<0.20,2.4,6.7,10,5.7,8,1.8
#33 Gewurtz et al (2016),33GWHG 12,Lake Michigan,"Wisconsin, USA",Big Sister Island,45.2237,-87.1459,Aves,Herring gull,Composite eggs,1,13,5/15/10,2010,0.64,166,10,0.63,2.2,7.2,12,7.8,6.7,2.4
#33 Gewurtz et al (2016),33GWHG 13,Lake Michigan,"Wisconsin, USA",Big Sister Island,45.2237,-87.1459,Aves,Herring gull,Composite eggs,1,13,5/15/11,2011,0.73,186,5.3,0.35,1.6,5.9,8.6,7.2,7.9,2.3
#33 Gewurtz et al (2016),33GWHG 14,Lake Michigan,"Wisconsin, USA",Big Sister Island,45.2237,-87.1459,Aves,Herring gull,Composite eggs,1,13,5/15/12,2012,0.44,364,3.8,0.47,3.5,4.5,8.2,2.4,7.5,5.1
#33 Gewurtz et al (2016),33GWHG 15,Lake Michigan,"Michigan, USA",Gull Island,45.5098,-86.7218,Aves,Herring gull,Composite eggs,1,11,5/15/09,2009,0.6,199,2.2,<0.20,3.7,3.9,6.9,2.9,6.2,0.7
#33 Gewurtz et al (2016),33GWHG 16,Lake Michigan,"Michigan, USA",Gull Island,45.5098,-86.7218,Aves,Herring gull,Composite eggs,1,13,5/15/10,2010,1.3,134,4.9,0.38,3.2,4,6.6,3.1,5.1,2.2
#33 Gewurtz et al (2016),33GWHG 17,Lake Michigan,"Michigan, USA",Gull Island,45.5098,-86.7218,Aves,Herring gull,Composite eggs,1,13,5/15/11,2011,1.1,390,10,<0.20,4.5,8.1,8.6,4.8,13,3.7
#33 Gewurtz et al (2016),33GWHG 18,Lake Michigan,"Michigan, USA",Gull Island,45.5098,-86.7218,Aves,Herring gull,Composite eggs,1,13,5/15/12,2012,0.91,133,4.9,0.27,3.8,6,14,3.8,9,3.5
#33 Gewurtz et al (2016),33GWHG 19,Lake Huron,"Michigan, USA",Channel-Shelter Island,43.6729,-83.8288,Aves,Herring gull,Composite eggs,1,11,5/15/09,2009,0.2,127,9.7,<0.20,0.9,6.4,12,4,6.1,1.6
