Author (Citation),Sample ID,Total Length (cm),Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDA,PFDoA,PFHpA,PFHxS,PFHxA,PFNA,PFOSA,PFOS,PFOA,PFPeA,PFUnA
#34 GLHHFTS (2010),560133,33.05,Lake Erie,NY,NCCAGL10-1170,42.35038,-79.60465,Pisces,Smallmouth bass,Composite fillet,1,2,7/18/10,2010,<0.1,<0.065,1.6,0.92,<0.088,0.14,<0.071,<0.083,0.28,34,<0.1,<0.13,4.9
#34 GLHHFTS (2010),560147,44.35,Lake Erie,NY,NCCAGL10-1139,42.53829,-79.27533,Pisces,Walleye,Composite fillet,1,2,7/22/10,2010,<0.1,<0.065,4.2,1,<0.088,0.44,<0.071,0.53,1.7,27,0.24,<0.13,2.5
#34 GLHHFTS (2010),560140,30.42,Lake Erie,NY,NCCAGL10-1155,42.64527,-79.13889,Pisces,Yellow perch,Composite fillet,1,5,7/10/10,2010,<0.1,<0.065,1.8,0.58,<0.088,0.12,<0.071,0.35,0.37,23,<0.1,<0.13,2
#34 GLHHFTS (2010),560130,46.82,Lake Erie,NY,NCCAGL10-1142,42.68146,-79.08613,Pisces,Walleye,Composite fillet,1,5,7/9/10,2010,<0.1,<0.065,2.2,0.57,<0.088,<0.12,<0.071,0.49,0.48,28,<0.1,<0.13,2
#34 GLHHFTS (2010),560132,31.52,Lake Erie,NY,NCCAGL10-1138,42.73212,-78.97097,Pisces,Smallmouth bass,Composite fillet,1,5,7/8/10,2010,<0.1,<0.065,1.8,0.64,<0.088,<0.12,<0.071,0.1,0.73,25,<0.1,<0.13,1.8
#34 GLHHFTS (2010),560138,35,Lake Erie,NY,NCCAGL10-1152,42.75303,-78.92968,Pisces,Smallmouth bass,Composite fillet,1,3,7/11/10,2010,<0.1,<0.065,2.1,0.65,<0.088,<0.12,<0.071,<0.083,0.5,28,<0.1,<0.13,2.2
#34 GLHHFTS (2010),560129,58.78,Lake Erie,NY,NCCAGL10-1175,42.83341,-78.89074,Pisces,Walleye,Composite fillet,1,5,7/12/10,2010,<0.1,<0.065,2.8,0.7,<0.088,<0.12,<0.071,0.72,0.8,32,<0.1,<0.13,2.4
#34 GLHHFTS (2010),560109,67.25,Lake Ontario,NY,NCCAGL10-1188,43.2548,-77.48873,Pisces,Walleye,Composite fillet,1,2,8/11/10,2010,<0.1,<0.065,<0.057,<0.12,<0.088,0.24,<0.071,<0.083,2,30,0.16,<0.13,0.39
#34 GLHHFTS (2010),560166,39.88,Lake Ontario,NY,NCCAGL10-1222,43.26149,-77.47763,Pisces,Smallmouth bass,Composite fillet,1,5,8/11/10,2010,<0.1,<0.065,2,1.1,<0.088,<0.12,<0.071,<0.083,0.48,47,<0.1,<0.13,2.8
#34 GLHHFTS (2010),560167,73.7,Lake Ontario,NY,NCCAGL10-1210,43.28736,-77.60575,Pisces,Freshwater drum,Fillet,1,1,8/8/10,2010,<0.1,<0.065,1.7,0.98,<0.088,<0.12,<0.071,0.27,0.31,59,0.12,0.89,2.6
