Author (Citation),Sample ID,Total Length (cm),Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,8:2 Cl-PFESA ,8:2 FTSA,4:2 FTSA,6:2 FTSA,ADONA,6:2 Cl-PFESA ,Gen-X,NEtFOSE,NEtFOSA,NEtFOSAA,NMeFOSAA,NMeFOSE,NMeFOSA,PFTeDA,PFBS,PFBA,PFDS,PFDA,PFDoS,PFDoA,PFHpS,PFHpA,PFHxS,PFHxA,PFNS,PFNA,PFOSA,PFOS,PFOA,PFPeS,PFPeA,PFTrDA,PFUnA
#34 NRSA FTS (2018-2019),894693,27.22,Lake Michigan,IL,Mississippi River,37.00011,-89.26342,Pisces,Flathead catfish,Composite fillet,1,5,8/19/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,1.18,<0.097,<0.551,0.912,1.6,<0.291,1.52,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,0.151,18,<0.162,<0.129,<0.192,1.86,1.98
#34 NRSA FTS (2018-2019),889373,43.78,Lake Michigan,IL,Mississippi River,40.47669,-91.36704,Pisces,Channel catfish,Composite fillet,1,5,6/25/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,0.496,0.308,<0.291,<0.156,<0.154,<0.17,<0.153,<0.203,<0.155,0.486,0.169,8.62,<0.162,<0.129,<0.192,<0.398,0.153
#34 NRSA FTS (2018-2019),107773,38.9,Lake Michigan,IL,Shoal Creek,38.72384,-89.4926,Pisces,Channel catfish,Fillet,1,1,9/4/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.124,<0.291,<0.156,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,0.407,<0.162,<0.129,<0.192,<0.398,0.31
#34 NRSA FTS (2018-2019),897273,48.38,Lake Michigan,IL,Rock River,41.71376,-89.90675,Pisces,Channel catfish,Composite fillet,1,5,7/9/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,0.217,0.383,<0.291,0.263,<0.154,<0.17,<0.153,<0.203,<0.155,0.135,<0.152,3,<0.162,<0.129,<0.192,<0.398,0.339
#34 NRSA FTS (2018-2019),106473,24.68,Lake Michigan,IL,Cache River,37.13876,-89.2678,Pisces,Largemouth bass,Composite fillet,1,5,9/4/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.439,<0.291,0.17,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,4.11,<0.162,<0.129,<0.192,0.493,1.36
#34 NRSA FTS (2018-2019),887353,50.3,Lake Michigan,IL,Bay Creek,37.26199,-88.51406,Pisces,Flathead catfish,Composite fillet,1,2,8/9/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.75,<0.097,<0.551,0.238,1.28,<0.291,1.3,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,9.91,<0.162,<0.129,<0.192,7.58,11.2
#34 NRSA FTS (2018-2019),104513,32.6,Lake Michigan,IL,Kaskaskia River,37.98648,-89.94733,Pisces,Flathead catfish,Fillet,1,1,7/15/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.613,<0.291,0.295,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,4.29,<0.162,<0.129,<0.192,0.531,1.1
#34 NRSA FTS (2018-2019),124053,31.25,Lake Michigan,IN,Saint Joseph River,41.69465,-85.9174,Pisces,Largemouth bass,Composite fillet,1,2,7/15/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.43,<0.097,<0.551,<0.207,0.745,<0.291,0.634,<0.154,<0.17,<0.153,<0.203,<0.155,0.149,<0.152,17.3,<0.162,<0.129,<0.192,0.413,0.483
#34 NRSA FTS (2018-2019),124173,19.6,Lake Michigan,IN,White River,38.45178,-87.598,Pisces,Spotted bass,Composite fillet,1,3,8/1/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.364,<0.097,0.608,0.215,0.802,<0.291,0.548,<0.154,<0.17,<0.153,<0.203,<0.155,0.224,<0.152,8.17,<0.162,<0.129,<0.192,0.969,1.21
#34 NRSA FTS (2018-2019),124033,25.3,Lake Michigan,IN,Elkhart River,41.68261,-85.95749,Pisces,Smallmouth bass,Composite fillet,1,2,7/16/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,1.89,<0.248,<0.143,<0.304,<3.36,<0.288,0.701,<0.097,0.544,0.34,0.855,<0.291,0.898,<0.154,<0.17,<0.153,<0.203,<0.155,0.141,0.232,7.84,<0.162,<0.129,<0.192,0.591,0.635
