Author (Citation),Sample ID,Maturity,Age (Years),Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOS
#36 Custer et al (2016),#36CUSTER TS 1,Nestling,0.0328767,Lake Erie,"BlackRiver, OH",BlackRiver,41.466839,-83.172725,Aves,Tree swallow,Composite plasma,3,3,6/15/12,2012,33
#36 Custer et al (2016),#36CUSTER TS 2,Nestling,0.0328767,Lake Erie,"BuffaloRiver, NY",KatherineStreet,42.856919,-78.858172,Aves,Tree swallow,Composite plasma,6,6,6/15/12,2012,24.7
#36 Custer et al (2016),#36CUSTER TS 3,Nestling,0.0328767,Lake Erie,"BuffaloRiver, NY",PieFactory,42.8611,-78.835622,Aves,Tree swallow,Composite plasma,6,6,6/15/12,2012,19.5
#36 Custer et al (2016),#36CUSTER TS 4,Nestling,0.0328767,Lake Huron; Lake Erie,"ClintonRiver, MI",ClintonRiver,42.591683,-82.800164,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,181
#36 Custer et al (2016),#36CUSTER TS 5,Nestling,0.0328767,Lake Erie,"CuyahogaRiver, OH",CuyahogaRiver,41.489472,-81.702892,Aves,Tree swallow,Composite plasma,3,3,6/15/12,2012,44.5
#36 Custer et al (2016),#36CUSTER TS 6,Nestling,0.0328767,Lake Superior,"DeerLake, MI",DeerLake,46.533003,-87.695333,Aves,Tree swallow,Plasma,1,1,6/15/12,2012,24.8
#36 Custer et al (2016),#36CUSTER TS 7,Nestling,0.0328767,Lake Huron; Lake Erie,"DetroitRiver, MI",ConnorCreek,42.354906,-82.955303,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,307.9
#36 Custer et al (2016),#36CUSTER TS 8,Nestling,0.0328767,Lake Erie,"DetroitRiver, MI",L.ErieMetroPark,42.05575,-83.188714,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,200.7
#36 Custer et al (2016),#36CUSTER TS 9,Nestling,0.0328767,Lake Huron; Lake Erie,"DetroitRiver, MI",DTEPowerPlant,42.271469,-83.111203,Aves,Tree swallow,Composite plasma,2,2,6/15/12,2012,129.3
#36 Custer et al (2016),#36CUSTER TS 10,Nestling,0.0328767,Lake Huron; Lake Erie,"DetroitRiver, MI",TrentonChannel,42.125369,-83.178014,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,159.9
#36 Custer et al (2016),#36CUSTER TS 11,Nestling,0.0328767,Lake Huron; Lake Erie,"DetroitRiver, MI",Wyandotte,42.189433,-83.151983,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,152.2
#36 Custer et al (2016),#36CUSTER TS 12,Nestling,0.0328767,Lake Michigan,"GrandCalumetRiver, IN",BurnsDitch,41.620475,-87.176678,Aves,Tree swallow,Composite plasma,8,8,6/15/12,2012,15.8
#36 Custer et al (2016),#36CUSTER TS 13,Nestling,0.0328767,Lake Michigan,"GrandCalumetRiver, IN",RoxanaMarsh,41.616175,-87.483717,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,43.9
#36 Custer et al (2016),#36CUSTER TS 14,Nestling,0.0328767,Lake Michigan,"KalamazooRiver, MI",Kalamazoo,42.643939,-86.189283,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,124.2
#36 Custer et al (2016),#36CUSTER TS 15,Nestling,0.0328767,Lake Michigan,"LowerGreenBayAndFoxRiver, WI",AshwaubomayPark,44.466397,-88.057628,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,47.3
#36 Custer et al (2016),#36CUSTER TS 16,Nestling,0.0328767,Lake Michigan,"LowerGreenBayAndFoxRiver, WI",BayBeach,44.533036,-87.981289,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,58.4
#36 Custer et al (2016),#36CUSTER TS 17,Nestling,0.0328767,Lake Michigan,"ManistiqueRiver, MI",ManistiqueBeach,45.948944,-86.250417,Aves,Tree swallow,Composite plasma,2,2,6/15/12,2012,102.2
#36 Custer et al (2016),#36CUSTER TS 18,Nestling,0.0328767,Lake Michigan,"ManistiqueRiver, MI",ManistiqueBoat,45.951483,-86.2498,Aves,Tree swallow,Composite plasma,4,4,6/15/12,2012,71.1
#36 Custer et al (2016),#36CUSTER TS 19,Nestling,0.0328767,Lake Michigan,"ManistiqueRiver, MI",ManistiqueNorth,45.9535,-86.252644,Aves,Tree swallow,Composite plasma,4,4,6/15/12,2012,67.5
#36 Custer et al (2016),#36CUSTER TS 20,Nestling,0.0328767,Lake Erie,"MaumeeRiver, OH",DuraLandfill,41.697142,-83.530447,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,227.6
#36 Custer et al (2016),#36CUSTER TS 21,Nestling,0.0328767,Lake Erie,"MaumeeRiver, OH",HoffmanLandfill,41.706044,-83.508,Aves,Tree swallow,Composite plasma,12,12,6/15/12,2012,235.2
#36 Custer et al (2016),#36CUSTER TS 22,Nestling,0.0328767,Lake Erie,"MaumeeRiver, OH",MaumeeRiver,41.654039,-83.520283,Aves,Tree swallow,Composite plasma,10,10,6/15/12,2012,80.7
#36 Custer et al (2016),#36CUSTER TS 23,Nestling,0.0328767,Lake Erie,"MaumeeRiver, OH",OttawaNWRnorth,41.623389,-83.208975,Aves,Tree swallow,Composite plasma,8,8,6/15/12,2012,146.1
#36 Custer et al (2016),#36CUSTER TS 24,Nestling,0.0328767,Lake Erie,"MaumeeRiver, OH",OttawaNWRsouth,41.61875,-83.210522,Aves,Tree swallow,Composite plasma,9,9,6/15/12,2012,148.3
