Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Age (Years),d13C,d15N,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDS,PFDA,PFDoA,PFHpA,PFHxDA,PFHxS,PFHxA,PFNA,PFOS,PFOA,PFPeA,PFTeDA,PFTrDA,PFUnA
#38 Ren et al (2022),20171411AC001,62.08,2085.2,0,5.6,NA,NA,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Lake trout,Composite whole fish homogenate,5,5,9/29/17,2017,0.34193787,ND,ND,1.694822485,0.929178994,ND,<0.11,0.34193787,ND,1.553587278,20.74670858,0.148668639,0.118934911,0.550073964,2.371264793,3.19637574
#38 Ren et al (2022),20171411AC002,61.24,2142.4,0.6,6.4,NA,NA,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Lake trout,Composite whole fish homogenate,5,5,9/29/17,2017,ND,ND,ND,1.707142857,0.821428571,0.071428571,<0.11,0.321428571,ND,1.742857143,24.65,0.15,0.1,0.464285714,2.057142857,2.714285714
#38 Ren et al (2022),20171411AC003,62.46,2188,0.4,6.2,NA,NA,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Lake trout,Composite whole fish homogenate,5,5,9/29/17,2017,ND,ND,ND,2.673388874,1.072419606,ND,<0.11,0.275765041,ND,2.665728734,23.34810685,0.168523081,0.09192168,0.490248963,2.328682573,5.048032287
#38 Ren et al (2022),20171411AC004,62.56,2220.8,0,6.6,NA,NA,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Lake trout,Composite whole fish homogenate,5,5,9/29/17,2017,ND,ND,ND,1.696402932,0.848201466,ND,<0.11,0.416660369,ND,2.083301846,23.3701825,0.17856873,0.089284365,0.476183279,2.053540391,2.976145495
#38 Ren et al (2022),20171411AC005,66.3,2700.8,1,7,NA,NA,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Lake trout,Composite whole fish homogenate,5,5,10/5/17,2017,0.596365248,ND,ND,1.862721084,0.765703528,ND,<0.11,0.360764162,ND,2.032059364,25.38601698,0.184063348,0.095712941,0.485927239,2.260297916,3.254239996
#38 Ren et al (2022),LHBloater20170710001,9.253846154,5.972307692,NA,NA,-24.7,7.25,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Bloater,Composite whole fish homogenate,1,13,10/22/17,2017,0.13617024,ND,ND,0.552245972,0.242080426,0.544680959,ND,0.121040213,0.06808512,1.059101864,9.123406056,0.098345173,ND,0.18156032,0.998581757,1.059101864
#38 Ren et al (2022),LHBloater20170710002,9.423076923,6.092307692,NA,NA,-24.7,7.25,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Bloater,Composite whole fish homogenate,1,13,10/22/17,2017,0.148468796,0.070327324,ND,0.617317626,0.265681004,ND,ND,0.101583913,0.070327324,1.148679633,9.42386148,0.156282943,ND,0.171911238,ND,0.906441071
#38 Ren et al (2022),LHBloater20170710003,9.530769231,6.031538462,NA,NA,-24.7,7.25,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Bloater,Composite whole fish homogenate,1,13,10/22/17,2017,0.127852509,ND,ND,0.618806145,0.240362718,ND,<0.11,0.109953158,0.061369204,1.176243086,9.816515668,0.13296661,ND,0.176436463,0.987021372,0.805470809
#38 Ren et al (2022),LHBloater20171413001,11.36,11.0725,NA,NA,-25.7,8.3,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Bloater,Composite whole fish homogenate,1,20,10/17/17,2017,<0.052,ND,<0.12,0.812376474,0.301739833,0.170212214,<0.11,0.077369188,0.085106107,1.090905551,12.3481224,0.085106107,ND,0.239844483,1.168274739,0.796902636
#38 Ren et al (2022),LHBloater20171413002,11.365,11.2235,NA,NA,-25.7,8.3,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Bloater,Composite whole fish homogenate,1,20,10/17/17,2017,0.067704773,ND,<0.12,0.812457281,0.33006077,ND,ND,0.093094063,0.118483353,1.227149018,11.61136864,0.118483353,ND,0.211577417,1.184833534,1.201759728
