Author (Citation),Sample ID,Maturity,Age (Years),Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,4:2 FTSA,6:2 FTSA,8:2 FTSA,PFOSA,NMeFOSA,NEtFOSA,NMeFOSAA,NEtFOSAA,NMeFOSE,NEtFOSE,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,3:3 FTCA,5:3 FTCA,7:3 FTCA
#44 Custer et al (2019),MI15WU415BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,1.24,<1.09,NA,NA,<2.18,NA,<2.18,NA,107,NA,NA,NA,NA,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI15WU419BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,NA,NA,<2.18,NA,6.17,NA,116,NA,NA,NA,NA,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI15WU422BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,1.1,<1.09,NA,NA,<2.18,NA,3.45,NA,128,NA,NA,NA,NA,NA,NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI15WU424BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,NA,NA,<2.18,NA,11.3,NA,236,NA,NA,NA,NA,NA,NA,5.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI15WU428BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,1.05,<1.09,NA,NA,<2.18,NA,6.04,NA,193,NA,NA,NA,NA,NA,NA,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI15WU429BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,1.03,<1.09,NA,NA,<2.18,NA,5.3,NA,137,NA,NA,NA,NA,NA,NA,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI15WU430BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,NA,NA,<2.18,NA,9.05,NA,162,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI15WU431BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,NA,NA,<2.18,NA,8.14,NA,162,NA,NA,NA,NA,NA,NA,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI15WU433BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,1.4,<1.09,NA,NA,<2.18,NA,<2.18,NA,90,NA,NA,NA,NA,NA,NA,<1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI15WU435BRa,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Brain,1,1,5/18/15,2015,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,<1.09,NA,NA,<2.18,NA,4.68,NA,138,NA,NA,NA,NA,NA,NA,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#44 Custer et al (2019),MI14WUdiet-PFC1,Nestling,0.0328767,Lake Huron,"Oscoda, MI",Clark's Marsh,44.4442056,-83.39323889,Aves,Tree swallow,Diet pool,1,NA,5/18/14,2014,<2.69,<3.1,6.54,<3.1,1.14,<0.52,<0.52,<0.52,<0.52,NA,NA,<2.54,NA,16.7,NA,186,NA,NA,NA,NA,NA,NA,9.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
