Author (Citation),Sample ID,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFBS,PFHxS,PFOS,PFDS,NMeFOSAA,NEtFOSAA,PFOSA
#45 Brase et al (2022),#45 BRASE 1,Lake Ontario,"Hoosic River, Downstream",42.91418046,-73.35759986,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,3.57,<0.08,0.56,0.43,<0.50,<0.33,<0.13,<0.36,<0.22,22.91,<0.55,0.4,<0.16,0.53
#45 Brase et al (2022),#45 BRASE 2,Lake Ontario,"Hoosic River, Downstream",42.91418046,-73.35759986,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,9.7,1.06,1.08,0.73,<0.50,<0.33,<0.13,<0.36,<0.22,24.23,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 3,Lake Ontario,"Hoosic River, Downstream",42.91418046,-73.35759986,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,7.86,0.67,0.61,0.45,<0.50,<0.33,<0.13,<0.36,<0.22,18.92,<0.55,0.52,<0.16,0.53
#45 Brase et al (2022),#45 BRASE 4,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,1.96,0.22,0.25,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,7.01,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 5,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,1.94,0.16,0.23,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,6.52,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 6,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,2.31,0.22,0.27,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,8.69,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 7,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,2.83,0.23,0.28,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,8.67,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 8,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,1.82,0.15,0.17,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,6.53,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 9,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,1.69,0.18,0.23,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,5.98,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 10,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Insecta,Mayflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,1.02,0.45,0.2,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,3.66,<0.55,<0.18,<0.16,<0.07
