Author (Citation),Sample ID,Total Length (cm),Sex Ratio,Maturity,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBS,PFHxS,PFOS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFODA
#49 Conard et al (2022),360M,36,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Muscle,1,1,2020,8.67,<0.001,6.6,<0.001,2.38,0.66,1.19,5.59,<0.971,<0.14,<0.277,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),380M,38,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Muscle,1,1,2020,1.06,<0.001,3.6,<0.001,<0.395,0.49,1.55,2.63,<0.291,<0.14,<0.277,<0.215,2.47,<0.016,<0.015,<0.034,0.73
#49 Conard et al (2022),405M,40.5,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Muscle,1,1,2020,1.34,<0.001,3.9,<0.001,<0.395,1.11,7.14,6.32,<0.291,<0.14,0.58,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),480F,48,1,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Muscle,1,1,2020,0.21,<0.001,<0.001,<0.001,5.71,3.1,14.7,7.44,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),480F-E,48,NA,NA,Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Eggs,1,1,2020,2.8,5.23,89.4,<0.001,6.92,1.38,<0.088,8.1,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),490F,49,1,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Muscle,1,1,2020,4.44,<0.001,<0.001,<0.001,7.29,1.96,<0.088,8.21,<0.291,<0.14,<0.277,<0.065,<0.033,<0.016,<0.015,<0.034,0.57
#49 Conard et al (2022),490F-E,49,NA,NA,Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Eggs,1,1,2020,3.43,2.25,96.1,<0.001,<0.395,1.68,<0.088,10.82,<0.291,<0.14,0.47,0.52,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),495M,49.5,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Muscle,1,1,2020,1.77,<0.001,2,<0.001,2.42,0.98,2.77,6.44,<0.971,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),505F,50.5,1,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Muscle,1,1,2020,0.24,<0.001,0.3,<0.001,<1.315,<0.376,<0.294,2.22,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,0.58
#49 Conard et al (2022),505F-E,50.5,NA,NA,Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Eggs,1,1,2020,0.34,<0.001,1.6,<0.001,<1.315,<0.113,<0.088,2,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),510F,51,1,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Muscle,1,1,2020,0.45,<0.001,<0.001,<0.001,1.72,0.88,5.96,3.51,3.17,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),510F-E,51,NA,NA,Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Eggs,1,1,2020,<0.001,<0.001,<0.001,<0.001,<1.315,0.44,0.74,3.96,1.51,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
