Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Maturity,Age (Years),d15N,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA ,PFTeDA ,PFPeDA ,PFHxS,PFOS,PFDS,PFOSA,8:2 FTUCA,10:2 FTUCA
#5 Ferdui et al (2008),1,56,2150,0,Adult (Sexually Mature),4,15.14,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,7/25/79,1979,ND,0.09,0.14,0.26,0.17,0.29,0.43,0.37,0.19,ND,23.4,0.8,1.9,<0.004,ND
#5 Ferdui et al (2008),2,59,1983,1,Adult (Sexually Mature),4,16.44,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,7/25/79,1979,ND,0.21,0.06,0.06,0.05,0.08,0.16,0.11,0.19,ND,7,0.4,1,<0.004,ND
#5 Ferdui et al (2008),3,55,2602,1,Adult (Sexually Mature),4,15.34,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,8/1/79,1979,ND,0.11,0.06,0.15,0.08,0.15,0.22,0.18,0.15,ND,21.5,0.8,0.8,<0.004,ND
#5 Ferdui et al (2008),4,63,2836,1,Adult (Sexually Mature),5,15.66,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,8/1/79,1979,ND,0.11,<0.0024,0.16,0.12,0.36,0.32,0.36,0.28,ND,19.6,1.2,3,0.035,ND
#5 Ferdui et al (2008),5,56,2158,0,Adult (Sexually Mature),4,16.87,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,7/12/83,1983,ND,0.2,0.48,0.94,0.9,0.99,1.14,0.63,0.24,ND,36.5,1.7,2.5,0.073,ND
#5 Ferdui et al (2008),6,56,1853,0,Adult (Sexually Mature),4,15.33,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,7/12/83,1983,ND,0.27,0.96,1.29,1.18,1.17,1.23,0.67,0.24,ND,84,1.9,2,0.05,ND
#5 Ferdui et al (2008),7,57,2158,0,Adult (Sexually Mature),4,16.46,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,7/12/83,1983,ND,<0.004,0.35,0.69,0.55,0.68,0.85,0.51,0.22,ND,33.2,1.2,1.6,0.061,ND
#5 Ferdui et al (2008),8,65,2172,0,Adult (Sexually Mature),4,16.51,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,7/12/83,1983,ND,0.17,0.33,0.65,0.59,0.56,0.83,0.44,0.16,ND,51.7,1.6,1.4,0.062,ND
#5 Ferdui et al (2008),9,59,2058,1,Adult (Sexually Mature),5,16.74,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,7/12/83,1983,ND,0.25,0.26,0.35,0.21,0.28,0.45,0.29,0.09,ND,16.1,0.6,0.7,<0.004,ND
#5 Ferdui et al (2008),10,57,2295,1,Adult (Sexually Mature),5,17.43,Lake Ontario,Eastern Basin,44.08333333,-76.66666667,Pisces,Lake trout,Whole fish homogenate,1,1,8/31/88,1988,ND,<0.004,1.02,1.39,1.84,1.3,1.75,1.33,<0.008,ND,67.3,1.8,0.4,<0.004,ND
