Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Maturity,Age (Years),d13C,d15N,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDS,PFDA,PFDoA,PFHpA,PFHxDA,PFHxS,PFHxA,PFNA,PFOS,PFOA,PFPeA,PFTeDA,PFTrDA,PFUnA
#50 Ren et al (2023),20190424AC001,63.48,2915.2,0.8,NA,4,NA,NA,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Composite whole fish homogenate,1,5,8/7/19,2019,<0.052,ND,0.407733328,2.870442628,0.530053326,ND,<0.11,0.146783998,ND,0.921477321,43.69270341,<0.048,ND,0.399578661,1.068261319,2.275151969
#50 Ren et al (2023),20190424AC002,61.84,2684.8,0.8,NA,5,NA,NA,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Composite whole fish homogenate,1,5,8/7/19,2019,ND,ND,0.48203447,4.182815236,0.668628458,ND,<0.11,0.342088978,ND,2.581216837,73.85234559,<0.048,ND,0.489809219,1.438328659,2.798909823
#50 Ren et al (2023),20190424AC003,62.2,2674.8,0.2,NA,4,NA,NA,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Composite whole fish homogenate,1,5,8/7/19,2019,ND,ND,0.583253527,3.846320554,0.717244202,ND,<0.11,0.244335937,ND,1.804933211,67.6652909,<0.048,ND,0.551726309,1.442370208,2.506413804
#50 Ren et al (2023),20190424AC004,62.7,2864.4,0,NA,4,NA,NA,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Composite whole fish homogenate,1,5,8/15/19,2019,ND,ND,0.504699988,4.221855456,0.737022205,ND,<0.11,0.336466659,ND,2.651677715,67.30935396,0.056077776,0.160222218,0.528733321,1.482055521,2.427366609
#50 Ren et al (2023),20190424AC005,66.12,3149.6,0.6,NA,5,NA,NA,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Composite whole fish homogenate,1,5,8/7/19,2019,0.055824984,ND,0.526349846,4.593598658,0.765599776,ND,<0.11,0.287099916,ND,2.248949343,81.40080123,0.055824984,ND,0.550274839,1.579049539,2.472249278
#50 Ren et al (2023),LEEmeraldShiner20190424001_YAO,7.557894737,3.011578947,NA,YAO,NA,-23.2,14.2,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Emerald shiner,Composite whole fish homogenate,1,38,10/30/19,2019,ND,0.061452218,0.215082762,1.751388208,0.384076361,0.537706906,ND,0.161312072,0.330305671,0.583796069,19.22686265,ND,ND,0.199719708,0.599159124,1.597757663
#50 Ren et al (2023),LEEmeraldShiner20190424002_YAO,7.546153846,3.150769231,NA,YAO,NA,-23.2,14.2,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Emerald shiner,Composite whole fish homogenate,1,39,10/30/19,2019,ND,ND,0.191893884,1.759027266,ND,ND,ND,0.151915991,0.087951363,0.463743552,19.14141489,<0.048,ND,0.215880619,0.607663965,1.447199705
#50 Ren et al (2023),LEEmeraldShiner20190424003_YAO,7.484615385,3.086923077,NA,YAO,NA,-23.2,14.2,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Emerald shiner,Composite whole fish homogenate,1,39,10/30/19,2019,ND,ND,0.158666827,1.486457641,ND,ND,ND,0.150315941,0.141965056,0.476000481,15.39068221,<0.048,ND,0.141965056,0.476000481,0.876842991
#50 Ren et al (2023),LEFE_2019_amphipod_1,NA,NA,NA,NA,NA,NA,NA,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,6/24/19,2019,ND,ND,0.283926093,1.867934825,0.381058704,ND,<0.11,0.067245654,ND,1.27766742,30.35767678,0.127019568,ND,0.246567397,0.478191315,0.814419584
#50 Ren et al (2023),LEFE_2019_larvfish_1,NA,NA,NA,Larvae,NA,NA,NA,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Pisces,General forage fish larvae,Composite whole fish homogenate,1,NA,6/24/19,2019,ND,ND,0.525472411,2.095238095,0.705064248,ND,<0.11,<0.051,ND,1.48329554,33.41738473,0.106424792,ND,0.492214664,0.891307634,1.130763416
#50 Ren et al (2023),LEFE_2019_mayfly_1,NA,NA,NA,NA,NA,NA,NA,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Insecta,Mayflies,Bulk composite,1,NA,6/24/19,2019,ND,ND,0.27104642,0.625491739,0.156372935,ND,ND,0.125098348,ND,1.365656963,13.68784422,0.427419355,ND,ND,<0.097,ND
#50 Ren et al (2023),LEFE_2019_zoop_153um_1,NA,NA,NA,NA,NA,-30,10.8,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Zooplankton,Zooplankton,Bulk composite,1,NA,6/24/19,2019,ND,ND,<0.12,1.728390289,0.586848796,ND,<0.11,<0.051,ND,1.575648822,13.34478084,0.321560984,ND,0.257248787,0.50645855,1.004878075
#50 Ren et al (2023),LEFE_2019_zoopsled_1,NA,NA,NA,NA,NA,-30,10.8,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Zooplankton,Zooplankton,Bulk composite,1,NA,6/24/19,2019,ND,ND,ND,1.630104096,0.244156561,ND,ND,<0.051,ND,2.19022797,10.10377296,0.5816671,ND,0.172345807,0.301605163,ND
#50 Ren et al (2023),LEFE_2019_zoopsled_2,NA,NA,NA,NA,NA,-30,10.8,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Zooplankton,Zooplankton,Bulk composite,1,NA,6/24/19,2019,ND,ND,ND,1.166674676,0.181637973,ND,ND,ND,ND,1.495020243,7.181686029,0.363275947,ND,0.104791139,0.223554429,ND
#50 Ren et al (2023),LEFO_2019_oligochaete_1,NA,NA,NA,NA,NA,NA,NA,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Annelida,Oligochaeta,Bulk composite,1,NA,6/23/19,2019,ND,ND,<0.12,0.474060267,ND,ND,ND,0.270891581,0.203168686,0.406337372,9.176452314,1.760795278,ND,<0.081,0.101584343,ND
#50 Ren et al (2023),LEFO_2019_zoop_153um_1,NA,NA,NA,NA,NA,-31,7.51,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Zooplankton,Zooplankton,Bulk composite,1,NA,6/23/19,2019,ND,ND,0.2117611,1.15373289,<0.083,ND,<0.11,0.124135817,ND,2.723685874,27.68228726,0.803231759,ND,0.09492739,0.262875848,0.219063207
#50 Ren et al (2023),LEFO_2019_zoop_153um_2,NA,NA,NA,NA,NA,-31,7.51,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Zooplankton,Zooplankton,Bulk composite,1,NA,6/23/19,2019,ND,ND,0.15983334,0.857287913,<0.083,0.072651518,<0.11,0.232484858,ND,1.997916747,19.60137958,0.668393966,ND,<0.081,0.196159099,0.174363643
#50 Ren et al (2023),LEFO_2019_zoop_tt_1,NA,NA,NA,NA,NA,-31,7.51,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Zooplankton,Zooplankton,Bulk composite,1,NA,6/23/19,2019,ND,ND,0.241182237,0.957635352,<0.083,ND,ND,0.156059094,ND,1.986206655,26.97694253,0.503645259,ND,<0.081,0.120591118,0.156059094
#50 Ren et al (2023),LEFreshwaterDrum20190904001,11.55,19.44,NA,NA,NA,-21.8,14.5,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Pisces,Freshwater drum,Composite whole fish homogenate,1,2,9/24/19,2019,ND,ND,0.486966499,1.033867336,0.404556784,ND,ND,0.082409715,ND,1.123768844,14.99107638,0.112376884,ND,0.142344054,0.269704523,0.614326968
#50 Ren et al (2023),LEFreshwaterDrum20190904002,9.633333333,11.62,NA,NA,NA,-21.8,14.5,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Pisces,Freshwater drum,Composite whole fish homogenate,1,3,9/24/19,2019,ND,ND,0.233958946,0.803259047,0.241757577,ND,ND,0.062389052,<0.059,0.779863152,10.91808413,0.070187684,ND,0.093583578,0.171569893,0.483515154
#50 Ren et al (2023),LEFreshwaterDrum20190904003,9.6,11.32666667,NA,NA,NA,-21.8,14.5,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Pisces,Freshwater drum,Composite whole fish homogenate,1,3,9/24/19,2019,ND,ND,0.265894848,1.055758955,0.258074411,ND,ND,<0.051,<0.059,0.868068474,9.924134178,0.101665677,ND,<0.081,0.179870044,0.563071443
#50 Ren et al (2023),LEGizzardShad20190904001,10.9,14.82333333,NA,NA,NA,-23.1,12.8,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Pisces,Gizzard shad,Composite whole fish homogenate,1,3,9/24/19,2019,ND,ND,<0.12,0.231450157,0.278260301,ND,<0.11,0.059812962,0.22624903,0.07281578,3.084268387,<0.048,ND,0.15343325,0.187240577,0.215846776
#50 Ren et al (2023),LEGizzardShad20190904002,10.9,14.33333333,NA,NA,NA,-23.1,12.8,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Pisces,Gizzard shad,Composite whole fish homogenate,1,3,9/24/19,2019,ND,ND,<0.12,0.246665288,0.161874095,ND,<0.11,<0.051,<0.059,0.100207773,1.896239401,<0.048,ND,0.092499483,<0.097,0.131040934
#50 Ren et al (2023),LEGizzardShad20190904003LD_avg,9.725,10.48,NA,NA,NA,-23.1,12.8,Lake Erie,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,Pisces,Gizzard shad,Composite whole fish homogenate,2,4,9/24/19,2019,ND,ND,<0.12,0.24636713,0.227086594,0.059,<0.11,0.051,0.273207977,0.111623239,3.449419649,0.048,ND,0.127003695,0.134763879,0.12
#50 Ren et al (2023),LELakeTrout20190424F001,73,4840,0,NA,9,-22,18.1,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Whole fish homogenate,1,1,8/20/19,2019,ND,ND,0.431541746,2.40094135,0.635543299,<0.059,<0.11,0.290309902,ND,0.604158444,41.99293498,ND,ND,0.384464465,0.878775919,2.597096689
#50 Ren et al (2023),LELakeTrout20190424F002,60.3,2520,0,NA,4,-22,18.1,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Whole fish homogenate,1,1,8/20/19,2019,ND,ND,0.366845939,2.052776213,0.390261637,<0.059,<0.11,0.195130819,ND,1.069316887,38.79200676,<0.048,ND,0.218546517,0.569781991,1.888866325
#50 Ren et al (2023),LELakeTrout20190424F003,63.2,2816,0,NA,4,-22,18.1,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Whole fish homogenate,1,1,8/20/19,2019,ND,ND,0.510023391,3.904866589,0.701282163,ND,<0.11,0.422363121,ND,2.231352337,72.82177733,ND,ND,0.486116045,1.362718749,2.757313959
#50 Ren et al (2023),LELakeTrout20190424F004,64.8,3168,1,NA,4,-22,18.1,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Whole fish homogenate,1,1,8/22/19,2019,ND,ND,0.241407308,1.923471132,0.397153958,<0.059,<0.11,0.140171985,ND,0.506176614,22.9648436,ND,ND,0.233619976,0.552900609,1.627552496
#50 Ren et al (2023),LELakeTrout20190424F005,64.5,3008,0,NA,4,-22,18.1,Lake Erie,"Dunkirk, NY (P532)",42.4755556,-79.73972222,Pisces,Lake trout,Whole fish homogenate,1,1,8/22/19,2019,ND,ND,0.395807524,3.04228528,0.457894978,<0.059,<0.11,0.131935841,ND,2.110973459,58.87442891,ND,ND,0.279393546,0.752810388,1.831579913
