Author (Citation),Sample ID,Total Length (cm),Sex Ratio,Maturity,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBA,PFPeA,PFBS,PFHxA,PFPeS,PFHpA,PFHxS,PFOA,PFHpS,PFNA,PFOSA,PFOS,PFDA,PFNS,NMeFOSAA,NEtFOSAA,PFUnA,PFDS,PFDoA,PFTrDA,PFTeDA,4:2 FTSA,6:2 FTSA,8:2 FTSA
#57 Coy et al (2022),CM_BLG1,14.9,NA,NA,Lake Huron,Clark's Marsh,44.43785481,-83.38988125,Pisces,Bluegill,Liver,1,1,8/15/19,2019,<2.63,<2.63,<2.63,<2.63,<5.26,<5.26,110,<5.26,22.8,<2.63,201,9400,<2.63,10.8,<5.26,<5.26,<2.63,<5.26,<2.63,<2.63,<2.63,<2.63,<5.26,<5.26
#57 Coy et al (2022),CM_BLG2,14.9,NA,NA,Lake Huron,Clark's Marsh,44.43785481,-83.38988125,Pisces,Bluegill,Liver,1,1,8/15/19,2019,<1.67,<1.67,<1.67,<1.67,<3.33,<3.33,80,<3.33,29.6,<1.67,126,11500,2.27,19.4,<3.33,<3.33,2.13,<3.33,<1.67,<1.67,<1.67,<1.67,<3.33,4.07
#57 Coy et al (2022),CM_BLG3,14.9,NA,NA,Lake Huron,Clark's Marsh,44.43785481,-83.38988125,Pisces,Bluegill,Composite liver,1,NA,8/15/19,2019,<0.49,<0.49,<0.49,<0.49,<0.98,<0.98,39,<0.98,28.9,<0.49,130,8650,1.82,15.2,<0.98,<0.98,1.23,<0.98,<0.49,<0.49,<0.49,<0.49,<0.98,9.35
#57 Coy et al (2022),CM_BLG4,14.9,NA,NA,Lake Huron,Clark's Marsh,44.43785481,-83.38988125,Pisces,Bluegill,Composite liver,1,NA,8/15/19,2019,<0.481,<0.481,<0.481,0.698,<0.962,<0.962,66.2,<0.962,48.1,<0.481,139,13600,2.34,18.9,<0.962,<0.962,1.4,<0.962,0.717,<0.481,<0.481,<0.481,<0.962,28.8
#57 Coy et al (2022),CM_BLG5,14.9,NA,NA,Lake Huron,Clark's Marsh,44.43785481,-83.38988125,Pisces,Bluegill,Liver,1,1,8/15/19,2019,<0.943,<0.943,<0.943,1.24,<1.89,<1.89,38.9,<1.89,19.4,<0.943,138,7650,1.57,11.9,<1.89,<1.89,1.23,<1.89,<0.943,<0.943,<0.943,<0.943,<1.89,4.51
#57 Coy et al (2022),PL_BLG1,14.9,NA,NA,Lake Michigan; Lake Huron,Pickerel Lake,45.390555,-84.754775,Pisces,Bluegill,Composite liver,1,NA,8/15/19,2019,<1.61,<1.61,<1.61,<1.61,<3.23,<3.23,<1.61,<3.23,<3.23,<1.61,<3.23,109,<1.61,<3.23,<3.23,<3.23,3.37,<3.23,1.87,<1.61,<1.61,<1.61,<3.23,<3.23
#57 Coy et al (2022),PL_BLG2,14.9,NA,NA,Lake Michigan; Lake Huron,Pickerel Lake,45.390555,-84.754775,Pisces,Bluegill,Composite liver,1,NA,8/15/19,2019,<0.893,<0.893,<0.893,<0.893,<1.79,<1.79,<0.893,<1.79,<1.79,<0.893,<1.79,108,0.896,<1.79,<1.79,<1.79,1.77,<1.79,1.18,<0.893,<0.893,<0.893,<1.79,<1.79
#57 Coy et al (2022),PL_BLG3,14.9,NA,NA,Lake Michigan; Lake Huron,Pickerel Lake,45.390555,-84.754775,Pisces,Bluegill,Composite liver,1,NA,8/15/19,2019,<0.505,<0.505,<0.505,<0.505,<1.01,<1.01,<0.505,<1.01,<1.01,<0.505,<1.01,47.7,1.06,<1.01,<1.01,<1.01,2.16,<1.01,1.29,<0.505,<0.505,<0.505,<1.01,<1.01
#57 Coy et al (2022),SL_BLG1,14.9,NA,NA,Lake Michigan; Lake Huron,Susan Lake,45.329179,-85.179604,Pisces,Bluegill,Composite liver,1,NA,8/15/19,2019,<0.862,<0.862,<0.862,<0.862,<1.72,<1.72,<0.862,<1.72,<1.72,<0.862,<1.72,50,<0.862,<1.72,<1.72,<1.72,2.25,<1.72,<0.862,<0.862,<0.862,<0.862,<1.72,<1.72
#57 Coy et al (2022),SL_BLG2,14.9,NA,NA,Lake Michigan; Lake Huron,Susan Lake,45.329179,-85.179604,Pisces,Bluegill,Composite liver,1,NA,8/15/19,2019,<0.625,<0.625,<0.625,<0.625,<1.25,<1.25,<0.625,<1.25,<1.25,<0.625,<1.25,84.7,0.654,<1.25,<1.25,<1.25,1.79,<1.25,<0.625,<0.625,<0.625,<0.625,<1.25,<1.25
#57 Coy et al (2022),ASR_BLG1,14.9,NA,NA,Lake Huron,Au Sable River,44.418956,-83.337097,Pisces,Bluegill,Liver,1,1,8/15/19,2019,<0.862,<0.862,<0.862,<0.862,<1.72,<1.72,<0.862,<1.72,<1.72,<0.862,3.24,2680,1.3,2.46,<1.72,<1.72,1.87,<1.72,<0.862,<0.862,<0.862,<0.862,<1.72,<1.72
#57 Coy et al (2022),ASR_BLG2,14.9,NA,NA,Lake Huron,Au Sable River,44.4356,-83.43919,Pisces,Bluegill,Composite liver,1,NA,8/15/19,2019,<0.476,<0.476,<0.476,<0.476,<0.952,<0.952,<0.476,<0.952,<0.952,<0.476,<0.952,1030,<0.476,<0.952,<0.952,<0.952,0.925,<0.952,0.982,<0.476,<0.476,<0.476,<0.952,<0.952
#57 Coy et al (2022),ASR_BLG3,14.9,NA,NA,Lake Huron,Au Sable River,44.4356,-83.43919,Pisces,Bluegill,Liver,1,1,8/15/19,2019,<1.85,<1.85,<1.85,<1.85,<3.7,<3.7,<1.85,<3.7,<3.7,<1.85,<3.7,685,<1.85,<3.7,<3.7,<3.7,<1.85,<3.7,<1.85,<1.85,<1.85,<1.85,<3.7,<3.7
#57 Coy et al (2022),ASR_BLG4,14.9,NA,NA,Lake Huron,Au Sable River,44.4356,-83.43919,Pisces,Bluegill,Liver,1,1,8/15/19,2019,<0.549,<0.549,<0.549,<0.549,<1.1,<1.1,<0.549,<1.1,1.31,<0.549,<1.1,329,1.07,<1.1,<1.1,<1.1,1.79,<1.1,2.39,0.665,<0.549,<0.549,<1.1,<1.1
#57 Coy et al (2022),CM_AS1,2.65,1,Adult (Non-reproductive),Lake Huron,Clark's Marsh,44.43783,-83.38853,Astacoidea,Faxonius immunis,Composite hepatopancreas,1,2,7/27/19,2019,3.71,3.34,<0.936,2.33,11,7.41,619,62.8,7.82,2.62,<3.65,314,<1.22,<3.74,<3.86,<3.49,<1.39,<3.5,<1.09,<0.872,<1.38,<1.54,110,<2.34
#57 Coy et al (2022),CM_AS2,2.5,1,Adult (Reproductive),Lake Huron,Clark's Marsh,44.43783,-83.38853,Astacoidea,Faxonius immunis,Composite hepatopancreas,1,2,7/30/19,2019,4.18,9.68,6.05,17.3,27.2,17.2,1750,98,13.2,1.45,13.6,482,<0.676,<2.08,<2.15,<1.94,<0.773,<1.95,<0.604,<0.484,<0.764,<0.853,21,<1.3
#57 Coy et al (2022),CM_AS3,2.333333333,0,Adult (Reproductive),Lake Huron,Clark's Marsh,44.43783,-83.38853,Astacoidea,Faxonius immunis,Composite hepatopancreas,1,3,7/27/19,2019,<0.86,1.67,4.42,9.68,18,22.7,1580,146,5.87,4.23,13.7,386,<0.707,<2.17,<2.25,<2.03,<0.809,<2.04,<0.633,<0.507,<0.8,<0.893,<1.62,<1.36
#57 Coy et al (2022),PL_AS1,2.75,0,Adult (Non-reproductive),Lake Michigan; Lake Huron,Pickerel Lake,45.38631,-84.75935,Astacoidea,Faxonius rusticus; Faxonius virilis,Composite hepatopancreas,1,2,8/6/19,2019,<0.725,<0.659,<0.459,<0.471,<1.01,<1.2,<0.882,2.66,<1.36,<0.78,<1.79,<1.08,<0.596,<1.83,<1.89,<1.71,<0.682,<1.72,2.38,<0.427,<0.675,<0.753,<1.37,<1.15
#57 Coy et al (2022),PL_AS2,2.7,0,NA,Lake Michigan; Lake Huron,Pickerel Lake,45.38631,-84.75935,Astacoidea,Faxonius rusticus,Composite hepatopancreas,1,2,8/6/19,2019,1.11,<0.7,<0.488,1.05,<1.07,<1.27,<0.938,3.4,<1.44,1.54,<1.9,3.78,2.44,<1.95,<2.01,<1.82,<0.725,<1.83,5.64,1.55,<0.717,<0.8,<1.45,<1.22
#57 Coy et al (2022),AU_AS1,3.4,0,Adult (Non-reproductive),Lake Huron,Au Sable River,44.43209,-83.39156,Astacoidea,Faxonius rusticus,Composite hepatopancreas,1,2,7/9/19,2019,1.17,1.15,<0.241,4.33,<0.53,<0.629,<0.464,5.78,<0.713,1.3,<0.94,11.2,<0.313,<0.963,<0.996,<0.899,<0.359,<0.903,<0.28,<0.225,<0.355,<0.396,<0.72,<0.602
#57 Coy et al (2022),AU_AS2,3.7,0,NA,Lake Huron,Au Sable River,44.43209,-83.39156,Astacoidea,Faxonius rusticus,Composite hepatopancreas,1,2,7/18/19,2019,<0.86,<0.781,<0.544,<0.558,<1.2,3.41,<1.05,3.73,<1.61,<0.926,<2.12,3.4,<0.707,<2.17,<2.25,<2.03,<0.809,<2.04,<0.633,<0.507,<0.8,<0.893,<1.62,<1.36
#57 Coy et al (2022),AU_AS3,3.4,0,Adult (Reproductive),Lake Huron,Au Sable River,44.43209,-83.39156,Astacoidea,Faxonius rusticus,Composite hepatopancreas,1,2,7/23/19,2019,<0.925,<0.84,<0.585,1.44,<1.29,4.12,<1.13,3.35,<1.73,<0.995,<2.28,7.22,<0.76,<2.34,<2.42,<2.18,2.17,<2.19,<0.68,<0.545,<0.86,<0.96,<1.75,<1.46
