Author (Citation),Sample ID,Maturity,Age (Years),Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFBS,PFHxS,PFOS,PFOSA,PFDS
#63 Custer et al (2014),MGM701-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,1.77,7.73,2.2,1.32,<0.22,<0.20,<0.20,11.2,<0.17,<0.20
#63 Custer et al (2014),MGM705-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,2.11,8.09,2.59,1.49,<0.22,<0.20,<0.20,11.8,<0.17,<0.20
#63 Custer et al (2014),MGM706-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,1.17,3.91,1.3,0.962,<0.22,<0.20,<0.20,6.11,<0.17,<0.20
#63 Custer et al (2014),MGM707-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,1.84,5.29,1.25,0.757,<0.22,<0.20,<0.20,8.85,<0.17,<0.20
#63 Custer et al (2014),MGM712-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,7.69,9.36,1.78,1.08,<0.22,<0.20,<0.20,9.2,<0.17,<0.20
#63 Custer et al (2014),MGM713-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,<0.75,2.22,0.936,0.782,<0.22,<0.20,<0.20,7.31,<0.17,<0.20
#63 Custer et al (2014),MGM715-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,7.53,11.5,1.82,1.03,<0.22,<0.20,<0.20,14.5,<0.17,<0.20
#63 Custer et al (2014),MGM716-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,2.61,4.99,1.51,1.13,<0.22,<0.20,<0.20,9.62,<0.17,<0.20
#63 Custer et al (2014),MGM718-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,2.82,4.19,1.08,0.97,<0.22,<0.20,<0.20,10.9,<0.17,<0.20
#63 Custer et al (2014),MN10GM700-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,3.5,34.1,7.15,0.95,0.04,<0.20,0.24,17.4,0.07,2.13
#63 Custer et al (2014),MN10GM701-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,3.4,16.7,4.67,1.76,0.08,<0.20,0.16,17.3,0.05,1.74
#63 Custer et al (2014),MN10GM703-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,6.7,39.75,6.38,2.07,0.18,<0.20,0.13,23.7,<0.05,1.34
#63 Custer et al (2014),MN10GM705-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,6.6,32.25,5.6,1.87,0.18,<0.20,0.13,18.4,<0.05,2.88
#63 Custer et al (2014),MN10GM706-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,9.7,68,12.2,2.9,0.31,<0.20,0.18,38,0.06,3.4
#63 Custer et al (2014),MN10GM707-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,6.6,29.6,6.47,3.33,0.29,<0.20,<0.20,23.6,0.05,2.74
#63 Custer et al (2014),MN10GM712-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,7.5,61.33,12.53,3.63,0.32,<0.20,0.15,41.3,0.06,2.68
#63 Custer et al (2014),MN10GM713-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,8.2,52.75,10.05,3.13,0.26,<0.20,0.14,29.5,0.05,1.62
#63 Custer et al (2014),MN10GM714-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,4.4,32.48,6.24,1.63,0.13,<0.20,0.18,20.9,0.07,3.29
