Author (Citation),Sample ID,Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBA,PFBS,PFDA,PFDoA,PFDS,PFHpA,PFHpS,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFPeA,PFTeDA,PFTrDA,PFUnA
#64 Route et al (Unpublished),GLKN2008ME03,Lake Superior,L-SACN,Carpenter Nature Center,44.77058378,-92.811304,Aves,Bald eagle,Egg albumen,1,1,2008,<0.12,0.41,2.1,1,110,0.51,<0.12,2.4,<0.50,0.48,0.15,1300,0.47,0.76,0.82,1.2
#64 Route et al (Unpublished),GLKN2008ME04,Lake Superior,L-SACN,High Bridge Island,45.11364256,-92.74258619,Aves,Bald eagle,Egg albumen,1,1,2008,<0.12,0.42,<0.12,<0.12,1.9,<0.12,<0.12,<0.12,<0.50,0.16,0.15,33,<0.12,<0.12,0.16,0.14
#64 Route et al (Unpublished),GLKN2008ME02,Lake Superior,MISS,Grey Cloud Island,44.79318,-92.98147,Aves,Bald eagle,Egg albumen,1,1,2008,<0.12,0.41,1.5,1.8,120,<0.12,0.22,<0.12,<0.50,0.28,0.13,1200,<0.12,2,1.4,1.6
#64 Route et al (Unpublished),GLKN2008ME01,Lake Superior,Pools 3+4,Hardy Run,44.6545525,-92.663925,Aves,Bald eagle,Egg albumen,1,1,2008,<0.12,0.42,2,0.87,100,<0.12,0.44,<0.12,<0.50,0.37,0.18,1300,<0.12,0.77,0.71,1
#64 Route et al (Unpublished),GLKN2009ME01,Lake Superior,MISS,Banfill Island NE,45.11863,-93.29333,Aves,Bald eagle,Egg albumen,1,1,2009,<0.12,0.39,18,16,<0.12,<0.12,<0.12,<0.12,<0.50,1.8,0.16,2000,<0.12,0.64,0.34,8.7
#64 Route et al (Unpublished),GLKN2009BE03,Lake Superior,Pools 3+4,Sturgeon Lake - North,44.65173,-92.64423,Aves,Bald eagle,Egg albumen,1,1,2009,<0.12,0.4,5.7,2.6,170,<0.12,3,<0.12,<0.50,0.82,0.15,2300,<0.12,0.63,0.61,2.7
#64 Route et al (Unpublished),GLKN2009BE04,Lake Superior,Pools 3+4,Sturgeon Lake - North,44.65173,-92.64423,Aves,Bald eagle,Egg albumen,1,1,2009,<0.12,0.39,1.5,0.58,57,0.6,0.35,<0.12,<0.50,0.25,0.18,600,<0.12,0.37,0.38,0.74
#64 Route et al (Unpublished),GLKN2010BE02,Lake Superior,L-SACN,YMCA camp - Lake St Croix,44.93196,-92.74037375,Aves,Bald eagle,Egg albumen,1,1,2010,<0.12,0.41,6.9,4,270,<0.12,0.41,0.2,<0.50,1.2,<0.12,2100,<0.12,1.7,1.9,4.5
#64 Route et al (Unpublished),GLKN2010ME01,Lake Superior,MISS,North Goodin Island,45.24048636,-93.50211136,Aves,Bald eagle,Egg albumen,1,1,2010,<0.12,0.43,3.8,0.99,4.9,<0.12,<0.12,1.3,<0.50,1.2,0.17,470,<0.12,0.21,0.33,1.3
#64 Route et al (Unpublished),GLKN2011BE02,Lake Superior,APIS,Saxine Creek,46.88812893,-91.04288571,Aves,Bald eagle,Egg albumen,1,1,2011,<0.12,0.41,4.8,2.8,2.5,2,<0.12,<0.12,1.2,4.4,0.13,280,<0.12,2,10,9.2
#64 Route et al (Unpublished),GLKN2014GE01,Lake Superior,MISS,Hidden Harbor S.,44.8290079,-93.0046658,Aves,Bald eagle,Egg albumen,1,1,2014,ND,NA,32,12,240,ND,11,ND,5.6,4.3,ND,2600,ND,18,10,15
#64 Route et al (Unpublished),GLKN2014ME01,Lake Superior,Pools 3+4,Sturgeon Lake - North,44.65173,-92.64423,Aves,Bald eagle,Egg albumen,1,1,2014,ND,NA,3.4,3.6,58,ND,1.4,ND,0.68,0.74,ND,200,ND,3.2,2.5,3.5
#64 Route et al (Unpublished),GLKN2014JE03,Lake Superior,U-SACN,Thayers Landing,46.00847,-92.44406,Aves,Bald eagle,Egg albumen,1,1,2014,ND,NA,0.77,ND,ND,ND,ND,ND,ND,ND,ND,16,ND,1.3,1.4,1.2
#64 Route et al (Unpublished),GLKN2015BE01,Lake Superior,U-SACN,Big Island (a),46.08035396,-92.21843734,Aves,Bald eagle,Egg albumen,1,1,2015,ND,NA,5.1,2.4,1.9,ND,ND,ND,ND,3.3,ND,80,ND,1.5,3.1,9.9
