Author (Citation),Sample ID,Total Weight (g),Sex Ratio,Maturity,Age (Years),Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOS
#65 Kannan et al (2001),#65KANNAN 01,NA,NA,NA,NA,Lake Huron,"Gull Is., Geo Bay",44.71108923,-80.03786359,Aves,Double-crested cormorant,Whole blood,1,1,7/18/91,1991,78
#65 Kannan et al (2001),#65KANNAN 02,NA,NA,NA,NA,Lake Superior,"Hyrn Island, Lake Superior",48.00968112,-88.77082462,Aves,Double-crested cormorant,Whole blood,1,1,7/29/91,1991,36
#65 Kannan et al (2001),#65KANNAN 03,NA,NA,NA,NA,Lake Huron,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,Aves,Double-crested cormorant,Whole blood,1,1,7/25/91,1991,164
#65 Kannan et al (2001),#65KANNAN 04,NA,NA,NA,NA,Lake Huron,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,Aves,Double-crested cormorant,Whole blood,1,1,7/25/91,1991,188
#65 Kannan et al (2001),#65KANNAN 05,NA,NA,NA,NA,Lake Superior,"Otter Island, Lake Superior",46.99561104,-90.69378044,Aves,Double-crested cormorant,Whole blood,1,1,7/29/91,1991,34
#65 Kannan et al (2001),#65KANNAN 06,NA,NA,NA,NA,Lake Huron,"Scarecrow Island, Thunder Bay",44.9118061,-83.32873354,Aves,Double-crested cormorant,Whole blood,1,1,7/4/91,1991,132
#65 Kannan et al (2001),#65KANNAN 07,NA,NA,NA,NA,Lake Huron; Lake Michigan,St. Martin Island,45.96158031,-84.57195332,Aves,Double-crested cormorant,Whole blood,1,1,7/13/91,1991,124
#65 Kannan et al (2001),#65KANNAN 08,NA,NA,NA,NA,Lake Huron; Lake Michigan,St. Martin Island,45.96158031,-84.57195332,Aves,Double-crested cormorant,Whole blood,1,1,7/13/91,1991,243
#65 Kannan et al (2001),#65KANNAN 09,NA,NA,NA,NA,Lake Huron,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,Aves,Herring gull,Whole blood,1,1,7/29/91,1991,57
#65 Kannan et al (2001),#65KANNAN 10,NA,NA,NA,NA,Lake Huron,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,Aves,Herring gull,Whole blood,1,1,7/29/91,1991,68
#65 Kannan et al (2001),#65KANNAN 11,NA,NA,NA,NA,Lake Superior,"Huron Is., Lake Superior",46.95327909,-87.97343683,Aves,Double-crested cormorant,Plasma,1,1,7/29/91,1991,63
#65 Kannan et al (2001),#65KANNAN 12,NA,NA,NA,NA,Lake Superior,"Huron Is., Lake Superior",46.95327909,-87.97343683,Aves,Double-crested cormorant,Plasma,1,1,7/29/91,1991,95
#65 Kannan et al (2001),#65KANNAN 13,NA,NA,NA,NA,Lake Huron,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,Aves,Double-crested cormorant,Plasma,1,1,7/25/91,1991,209
#65 Kannan et al (2001),#65KANNAN 14,NA,NA,NA,NA,Lake Huron,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,Aves,Double-crested cormorant,Plasma,1,1,7/25/91,1991,372
#65 Kannan et al (2001),#65KANNAN 15,NA,NA,NA,NA,Lake Huron,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,Aves,Herring gull,Plasma,1,1,7/29/91,1991,239
#65 Kannan et al (2001),#65KANNAN 16,NA,NA,NA,NA,Lake Huron,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,Aves,Herring gull,Plasma,1,1,7/29/91,1991,391
#65 Kannan et al (2001),#65KANNAN 17,NA,NA,NA,NA,Lake Huron,"Sulphur Is., Thunder Bay, Lake Huron",44.98914476,-83.41689722,Aves,Ring-billed gull,Egg yolk,1,1,6/9/95,1995,30
#65 Kannan et al (2001),#65KANNAN 18,NA,NA,NA,NA,Lake Huron,"Sulphur Is., Thunder Bay, Lake Huron",44.98914476,-83.41689722,Aves,Ring-billed gull,Egg yolk,1,1,6/9/95,1995,126
#65 Kannan et al (2001),#65KANNAN 19,NA,NA,NA,NA,Lake Huron,"Sulphur Is., Thunder Bay, Lake Huron",44.98914476,-83.41689722,Aves,Ring-billed gull,Egg yolk,1,1,6/9/95,1995,45
#65 Kannan et al (2001),#65KANNAN 20,NA,1,Nestling,0.15890411,Lake Huron,"Devil's Lake, Alpena, MI",44.98729975,-83.49714015,Aves,Bald eagle,Plasma,1,1,6/8/93,1993,388
#65 Kannan et al (2001),#65KANNAN 21,NA,0,Nestling,0.115068493,Lake Michigan; Lake Huron,"Roach Point, Chippewa, MI",46.17994648,-84.17552585,Aves,Bald eagle,Plasma,1,1,6/8/93,1993,273
#65 Kannan et al (2001),#65KANNAN 22,NA,0,Nestling,0.115068493,Lake Michigan,"Sucker Creek, Mackinac, MI",46.08866959,-85.30292847,Aves,Bald eagle,Plasma,1,1,6/15/93,1993,160
#65 Kannan et al (2001),#65KANNAN 23,NA,0,Nestling,NA,Lake Superior,"Rabbit Bay, Houghton County, MI",47.06367133,-88.35655789,Aves,Bald eagle,Plasma,1,1,6/7/92,1992,144
#65 Kannan et al (2001),#65KANNAN 24,4700,0,Nestling,0.142465753,Lake Michigan,"Caulkins Creek, Otsego, MI",42.42288861,-85.7283088,Aves,Bald eagle,Plasma,1,1,6/4/90,1990,35
#65 Kannan et al (2001),#65KANNAN 25,3400,0,Nestling,0.120547945,Lake Michigan,"Harding Creek, Montgomery County, MI",45.44856669,-87.67316355,Aves,Bald eagle,Plasma,1,1,6/6/90,1990,13
#65 Kannan et al (2001),#65KANNAN 26,3200,1,Nestling,0.115068493,Lake Superior; Lake Michigan,"Boney Falls, Marquette, MI",45.98834071,-87.2704516,Aves,Bald eagle,Plasma,1,1,6/5/91,1991,105
#65 Kannan et al (2001),#65KANNAN 27,3700,0,Nestling,0.123287671,Lake Superior; Lake Michigan,"Seney National Wildlife Refuge, Schoolcraft County, MI",46.2160653,-85.97291247,Aves,Bald eagle,Plasma,1,1,6/18/91,1991,75
#65 Kannan et al (2001),#65KANNAN 28,4300,0,Nestling,0.136986301,Lake Michigan,"Pine River, WI",44.15173631,-89.07165366,Aves,Bald eagle,Plasma,1,1,6/13/91,1991,2220
