Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Maturity,d13C,d15N,Waterbody,Region,Location,Latitude,Longitude,Latitude 2,Longitude 2,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFPrS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,FBSA,FHxSA,PFOSA,NMeFBSA,NMeFOSA,NEtFOSA,FOSAA,NMeFOSAA,NEtFOSAA,3:3 FTCA,5:3 FTCA,7:3 FTCA,6:2 FTCA,8:2 FTCA,10:2 FTCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,Cl-PFOS,PFEtCHxS,PFHxPA,PFOPA,6:2 diPAP,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB
#8 Munoz et al (2022),CAREX-1,NA,NA,NA,-27.98,2.45,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Plantae (Magnoliopsida),Carex spp.,Plant sample homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,<0.01,<0.007,<0.008,<0.015,0.01,<0.022,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,0.272,<0.007,<0.011,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),CAREX-2,NA,NA,NA,-27,2.37,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Plantae (Magnoliopsida),Carex spp.,Plant sample homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,<0.01,<0.007,<0.008,0.1,<0.009,<0.022,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,0.058,<0.007,<0.011,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),CAREX-3,NA,NA,NA,-27.63,5.04,Lake Ontario,St. Lawrence River,Iles Robinet,45.73941602,-73.42910357,45.7160065,-73.44774639,Plantae (Magnoliopsida),Carex spp.,Plant sample homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,0.061,<0.013,<0.01,<0.007,<0.008,0.144,<0.009,<0.022,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,0.075,<0.007,<0.011,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,0.173,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),CAREX-4,NA,NA,NA,-29.14,4.97,Lake Ontario,St. Lawrence River,Ile Beauregard,45.75109236,-73.41078688,45.7160065,-73.44774639,Plantae (Magnoliopsida),Carex spp.,Plant sample homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,0.074,0.019,0.032,0.014,0.009,<0.015,<0.009,<0.022,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,0.359,<0.007,<0.011,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),CAREX-5,NA,NA,NA,-28.68,4.35,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Plantae (Magnoliopsida),Carex spp.,Plant sample homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.04,<0.007,0.03,0.499,0.028,0.069,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,0.295,<0.007,<0.011,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,0.228,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),HEDU-1,NA,NA,NA,-14.35,8.3,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Plantae (Magnoliopsida),Water stargrass,Plant sample homogenate,1,1,9/19/19,2019,0.154,<0.03,<0.016,<0.02,0.106,0.191,0.134,0.095,0.026,<0.009,<0.022,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,1.508,<0.007,0.015,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,0.014,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),HEDU-2,NA,NA,NA,-8.87,6.29,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Plantae (Magnoliopsida),Water stargrass,Plant sample homogenate,1,1,9/19/19,2019,0.248,<0.03,<0.016,<0.02,0.056,0.089,0.069,0.024,0.039,<0.009,<0.022,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,0.885,<0.007,<0.011,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),HEDU-3,NA,NA,NA,-9.34,5.62,Lake Ontario,St. Lawrence River,Iles Robinet,45.73941602,-73.42910357,45.7160065,-73.44774639,Plantae (Magnoliopsida),Water stargrass,Plant sample homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.063,0.086,0.058,0.058,0.035,0.03,0.037,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,0.868,<0.007,0.021,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),HEDU-4,NA,NA,NA,-10.42,6.84,Lake Ontario,St. Lawrence River,Ile Beauregard,45.75109236,-73.41078688,45.7160065,-73.44774639,Plantae (Magnoliopsida),Water stargrass,Plant sample homogenate,1,1,9/19/19,2019,0.148,<0.03,<0.016,<0.02,0.187,0.46,0.327,0.117,<0.015,<0.009,<0.022,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,3.296,<0.007,<0.011,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,0.011,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),HEDU-5,NA,NA,NA,-9.26,6.39,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Plantae (Magnoliopsida),Water stargrass,Plant sample homogenate,1,1,9/19/19,2019,0.196,<0.03,<0.016,<0.02,0.114,0.166,0.113,0.033,0.025,<0.009,<0.022,<0.591,<0.017,<0.005,<0.006,0.007,<0.007,1.22,<0.007,<0.011,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,0.012,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
