"Author..Citation.","Sample.ID","Total.Length..cm.","Total.Weight..g.","Sex.Ratio","Maturity","Age..Years.","d13C","d15N","Waterbody","Region","Location","Latitude","Longitude","Latitude.2","Longitude.2","Class","Species","Tissue","n_samples","n_indiv","Collection.Date","Sampling.Year","PFBS","PFHxS","PFOS","PFDS","PFEtCHxS","FBSA","PFOSA","NMeFOSA","NEtFOSA","PFBA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFHxDA","PFODA","PFPeDA","X8.2.FTUCA","X10.2.FTUCA","X6.6.PFPIA","X6.8.PFPIA","X6.2.diPAP","X8.2.diPAP","PFHpS","Gen.X","PFPrS","PFPeS","PFNS","Cl.PFOS","X4.2.FTSA","X6.2.FTSA","X8.2.FTSA","X6.2.FTCA","X8.2.FTCA","X10.2.FTCA","X6.2.FTOH","X8.2.FTOH","X10.2.FTOH","NMeFOSE","NEtFOSE","X8.2.Cl.PFESA","ADONA","X6.2.Cl.PFESA","NEtFOSAA","NMeFOSAA","PFDoS","X8.8.PFPIA","X6.10.PFPIA","X8.10.PFPIA","X6.12.PFPIA","X3.3.FTCA","X5.3.FTCA","X7.3.FTCA","FHUEA","FOUEA","FDUEA","FHxSA","NMeFBSA","FOSAA","X10.2.FTSA","PFHxPA","PFOPA","PFHxSAm","PFOSAm","PFHxSAmS","PFOSAmS","PFOANO","PFOSNO","PFOAB","PFOSB","X5.3.FTB","X5.1.2.FTB","X6.2.FTAB"
"#1 Su et al (2017)","13-TT-CT-01",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","1.69","735.6","5.23","0.951","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.953","32.3","44.6","49.5","12.4","9.88","3.54","0.058","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","13-TT-CT-02",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","<0.007","255.3","8.07","0.062","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","<0.038","2.04","24.6","40.1","12.9","17.1","3.29","0.088","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","13-TT-CT-04",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","1.02","401.7","15.6","0.42","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","3.02","7.58","14.3","15.3","3.98","5.39","1.36","0.018","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","13-TT-CT-05",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","0.469","604.5","9.21","0.452","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.509","18.6","44.8","59.4","21.6","18.5","4.65","0.052","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","13-TT-CT-06",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","0.181","196.6","5.71","0.1","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.08","2.17","20.4","24.3","10.2","9.83","3.07","0.024","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","13-TT-CT-08",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","0.355","611.5","5.33","1.55","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.444","4.86","14.5","22.6","8.07","11.3","2.46","0.019","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","13-TT-CT-09",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","0.386","321","6.3","0.261","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.447","12.2","34","40.8","11","15.5","2.5","0.011","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","13-TT-CT-10",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","0.394","209.6","2.97","0.249","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.595","17","25.3","30","8.4","8.59","2.27","0.023","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","13-TT-CT-12",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","0.286","263.2","2.61","1.21","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.056","7.29","29.5","40.6","10.9","12.6","2.57","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","13-TT-CT-13",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2013,"<0.014","0.5","269","6.74","0.245","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.525","10.7","26.8","35.6","11.5","14.3","2.95","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
