"PFOS","PFDS","PFEtCHxS","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFPeDA"
735.6,5.23,0.951,32.3,44.6,49.5,12.4,9.88,3.54,NA
255.3,8.07,0.062,2.04,24.6,40.1,12.9,17.1,3.29,NA
401.7,15.6,0.42,7.58,14.3,15.3,3.98,5.39,1.36,NA
604.5,9.21,0.452,18.6,44.8,59.4,21.6,18.5,4.65,NA
196.6,5.71,0.1,2.17,20.4,24.3,10.2,9.83,3.07,NA
611.5,5.33,1.55,4.86,14.5,22.6,8.07,11.3,2.46,NA
321,6.3,0.261,12.2,34,40.8,11,15.5,2.5,NA
209.6,2.97,0.249,17,25.3,30,8.4,8.59,2.27,NA
263.2,2.61,1.21,7.29,29.5,40.6,10.9,12.6,2.57,NA
269,6.74,0.245,10.7,26.8,35.6,11.5,14.3,2.95,NA
111.3,0.645,0.163,4.16,5.68,7.84,2.73,7.84,2.04,NA
231,2.72,0.494,7.5,11.2,14.6,5.11,6.39,3.19,NA
80.7,0.659,0.07,1.78,3.27,4.77,1.76,4.96,1.49,NA
170.8,2.81,0.239,5.68,7.32,10.4,4.14,10.7,3.33,NA
289.4,3.51,0.5,5.74,9.63,14.8,5.92,12,3.4,NA
72,0.293,0.121,2.7,3.66,5.77,2.26,6.6,1.9,NA
162.3,2.28,0.367,3.89,7.99,14.8,8.54,14.5,4.76,NA
69.8,0.35,0.337,4.47,3.92,5.98,2.68,7.24,2.02,NA
48.5,0.24,0.09,3.27,2.88,3.96,1.54,4.79,1.37,NA
410.2,6.75,0.404,2.75,10.6,13,6.23,12.2,4.19,NA
1367,18.2,1.05,15.6,65.7,67.4,13.4,14.9,3.5,NA
227.4,3.39,0.337,7.58,14.3,15.3,3.98,5.39,1.36,NA
525.4,6.21,1.05,9.21,34.9,35.8,10.4,8.37,2.07,NA
448.9,7.51,0.575,10.4,26.8,32.6,8.35,11.41,3.1,NA
319.3,4.82,0.387,9.98,19.8,27.6,6.95,9.4,1.98,NA
412.8,7.3,0.224,5.3,42.2,44.9,17.9,12.7,4.86,NA
113.8,1.89,0.134,1.76,9.14,10.61,3.2,4.08,1.13,NA
805.4,10.9,0.879,8.58,47.3,57.1,16.9,16.5,3.77,NA
872.6,11.6,0.745,13.3,49.1,57.7,11.6,13.9,2.5,NA
562.2,13,0.439,5.99,30.7,38.8,13.8,12,2.87,NA
1906,24.4,1.11,16.6,91.1,99.4,22.9,23.1,5.65,NA
627,9.12,0.509,9.15,41.5,44.9,13.1,11.5,2.98,NA
1967,33,0.49,9.57,83.3,81.5,24.2,18.1,6.44,NA
4655,31.1,1.25,26.9,219.4,118.1,95.9,26.1,19.3,NA
411.4,7.41,0.908,4.81,33.4,38.1,11.3,8.58,2.49,NA
760.9,13.3,0.356,9.68,49.6,49.8,18.3,13,4.37,NA
1116,13.9,0.582,10.04,49.8,45.7,9.23,9.25,2.4,NA
958.9,17.5,0.573,8.84,47.6,58.1,13.4,14.2,2.87,NA
336.6,4.45,0.471,4.05,18.8,21,4.78,4.5,1.1,NA
1208,13.6,1.84,15.5,59.6,59.5,10.2,11,2.29,NA
57.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
55.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
79.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
54.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
56.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
52.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
45.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
54.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
67.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
57.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
65.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
76.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
75.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
80.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
105.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
89.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
