"Author..Citation.","Sample.ID","Total.Length..cm.","Total.Weight..g.","Sex.Ratio","Maturity","Revised_Maturity","Age..Years.","d13C","d15N","Waterbody","Water_Level","Waterbody_Type","Region","Location","Latitude","Longitude","Latitude.2","Longitude.2","Class","Species","Revised_Species","Trophic_Level","Tissue","Revised_Tissue","Composite","N","n_1","Collection.Date","Season","Sampling.Year","PFOS","PFDS","PFEtCHxS","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFPeDA"
"#1 Su et al (2017)","13-TT-CT-01",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,735.6,5.23,0.951,32.3,44.6,49.5,12.4,9.88,3.54,NA
"#1 Su et al (2017)","13-TT-CT-02",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,255.3,8.07,0.062,2.04,24.6,40.1,12.9,17.1,3.29,NA
"#1 Su et al (2017)","13-TT-CT-04",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,401.7,15.6,0.42,7.58,14.3,15.3,3.98,5.39,1.36,NA
"#1 Su et al (2017)","13-TT-CT-05",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,604.5,9.21,0.452,18.6,44.8,59.4,21.6,18.5,4.65,NA
"#1 Su et al (2017)","13-TT-CT-06",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,196.6,5.71,0.1,2.17,20.4,24.3,10.2,9.83,3.07,NA
"#1 Su et al (2017)","13-TT-CT-08",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,611.5,5.33,1.55,4.86,14.5,22.6,8.07,11.3,2.46,NA
"#1 Su et al (2017)","13-TT-CT-09",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,321,6.3,0.261,12.2,34,40.8,11,15.5,2.5,NA
"#1 Su et al (2017)","13-TT-CT-10",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,209.6,2.97,0.249,17,25.3,30,8.4,8.59,2.27,NA
"#1 Su et al (2017)","13-TT-CT-12",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,263.2,2.61,1.21,7.29,29.5,40.6,10.9,12.6,2.57,NA
"#1 Su et al (2017)","13-TT-CT-13",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",175.9,"Connecting channel",NA,"Two Tree Island",46.20734631,-84.08672203,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2013,269,6.74,0.245,10.7,26.8,35.6,11.5,14.3,2.95,NA
"#1 Su et al (2017)","14-PIT-HG-01",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,111.3,0.645,0.163,4.16,5.68,7.84,2.73,7.84,2.04,NA
"#1 Su et al (2017)","14-PIT-HG-02",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,231,2.72,0.494,7.5,11.2,14.6,5.11,6.39,3.19,NA
"#1 Su et al (2017)","14-PIT-HG-03",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,80.7,0.659,0.07,1.78,3.27,4.77,1.76,4.96,1.49,NA
"#1 Su et al (2017)","14-PIT-HG-05",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,170.8,2.81,0.239,5.68,7.32,10.4,4.14,10.7,3.33,NA
"#1 Su et al (2017)","14-PIT-HG-06",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,289.4,3.51,0.5,5.74,9.63,14.8,5.92,12,3.4,NA
"#1 Su et al (2017)","14-PIT-HG-08",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,72,0.293,0.121,2.7,3.66,5.77,2.26,6.6,1.9,NA
"#1 Su et al (2017)","14-PIT-HG-09",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,162.3,2.28,0.367,3.89,7.99,14.8,8.54,14.5,4.76,NA
